iter	RMSE
0	2.702683434
1	2.650954691
2	2.581982313
3	2.526668053
4	2.464267315
5	2.407571451
6	2.351137804
7	2.311651608
8	2.280070893
9	2.23897402
10	2.200414076
11	2.162728591
12	2.131187745
13	2.092710858
14	2.055738226
15	2.026139982
16	2.003628767
17	1.976023264
18	1.951090311
19	1.916067949
20	1.890678943
21	1.866240728
22	1.844124654
23	1.82348807
24	1.803844279
25	1.788087065
26	1.764553172
27	1.749749792
28	1.729357696
29	1.71213189
30	1.700447179
31	1.677414321
32	1.668079276
33	1.651878257
34	1.640008175
35	1.621454883
36	1.606778064
37	1.592270494
38	1.584832695
39	1.577720571
40	1.568280104
41	1.559782688
42	1.554042022
43	1.546991574
44	1.534028934
45	1.520438281
46	1.511020093
47	1.50178317
48	1.492821226
49	1.480103224
50	1.472574715
51	1.462622938
52	1.452717796
53	1.446005348
54	1.435029086
55	1.429429623
56	1.42279319
57	1.412634862
58	1.407073749
59	1.402405402
60	1.396332913
61	1.389710636
62	1.382860711
63	1.375936006
64	1.370454039
65	1.366527365
66	1.363406023
67	1.354433546
68	1.350372223
69	1.345570405
70	1.340524943
71	1.337675658
72	1.329912488
73	1.326731389
74	1.319275722
75	1.31649515
76	1.314199171
77	1.311512544
78	1.306676106
79	1.303625266
80	1.299263551
81	1.296683981
82	1.290318459
83	1.287415188
84	1.283428562
85	1.280706655
86	1.276393899
87	1.273242317
88	1.270900854
89	1.267597602
90	1.26412208
91	1.260493922
92	1.257526001
93	1.253009569
94	1.249509573
95	1.245547987
96	1.241058462
97	1.239530056
98	1.236264228
99	1.234307442
100	1.231394064
101	1.228224324
102	1.225092256
103	1.223838686
104	1.221608064
105	1.217314521
106	1.214598373
107	1.211773212
108	1.2093503
109	1.207640734
110	1.20465674
111	1.202264726
112	1.20100984
113	1.198810299
114	1.19626339
115	1.192734822
116	1.191728979
117	1.190436531
118	1.189128022
119	1.186553646
120	1.18413546
121	1.182305318
122	1.180557426
123	1.178437442
124	1.175778343
125	1.173997828
126	1.171618125
127	1.169414649
128	1.167130664
129	1.165826346
130	1.164362418
131	1.161159647
132	1.160178212
133	1.158358496
134	1.155697505
135	1.153251917
136	1.151400903
137	1.150008807
138	1.148927705
139	1.146994808
140	1.145650412
141	1.142875093
142	1.140772791
143	1.138851181
144	1.137105965
145	1.134670538
146	1.132778724
147	1.131623521
148	1.130284274
149	1.1282019
150	1.126714056
151	1.124489348
152	1.122379571
153	1.120404279
154	1.117821462
155	1.115856624
156	1.113848805
157	1.112073242
158	1.110439662
159	1.109547087
160	1.107410978
161	1.105618111
162	1.104099009
163	1.102508813
164	1.100865627
165	1.099441003
166	1.096985438
167	1.09560007
168	1.092550542
169	1.091177854
170	1.089845168
171	1.087650346
172	1.086496169
173	1.085545553
174	1.083318669
175	1.081510488
176	1.079293374
177	1.077116402
178	1.075458685
179	1.073875481
180	1.072254218
181	1.070905427
182	1.069260426
183	1.067848555
184	1.066298031
185	1.064146111
186	1.063096962
187	1.061539495
188	1.060235496
189	1.05912775
190	1.057387433
191	1.056317207
192	1.054810444
193	1.052634885
194	1.051317339
195	1.049349904
196	1.047728692
197	1.045822671
198	1.04468315
199	1.043539322
200	1.041522414
201	1.040682751
202	1.039400811
203	1.037664347
204	1.036640881
205	1.035119564
206	1.033496779
207	1.031795831
208	1.030718071
209	1.029433824
210	1.027177108
211	1.026314021
212	1.025000019
213	1.023403319
214	1.022297019
215	1.020913489
216	1.019480938
217	1.017249478
218	1.014788752
219	1.013076475
220	1.012133598
221	1.011221681
222	1.009793345
223	1.009010693
224	1.007312826
225	1.005931085
226	1.004301766
227	1.002866602
228	1.001307955
229	0.9990738796
230	0.9974439758
231	0.9958244986
232	0.9945282316
233	0.9934134657
234	0.991848896
235	0.9900890188
236	0.9890589001
237	0.9877044797
238	0.9861482527
239	0.9839905834
240	0.9830556097
241	0.9812820464
242	0.980546663
243	0.9792533911
244	0.9778298129
245	0.9761253323
246	0.9749411523
247	0.9732909366
248	0.9718053697
249	0.9703992691
250	0.9690744245
251	0.9681261819
252	0.966728899
253	0.9655346189
254	0.964322334
255	0.9633873919
256	0.9623865975
257	0.9614000671
258	0.9601229775
259	0.9593259485
260	0.9579096358
261	0.9566084799
262	0.9547526101
263	0.9537849441
264	0.9517175919
265	0.9507882516
266	0.9496119175
267	0.9486554316
268	0.9476492238
