iter	Passed	Remaining
0	41	41576
1	68	34394
2	101	33570
3	134	33389
4	169	33716
5	203	33747
6	235	33395
7	268	33238
8	299	32985
9	330	32739
10	361	32488
11	394	32477
12	426	32412
13	500	35227
14	534	35090
15	565	34795
16	597	34565
17	629	34318
18	662	34231
19	697	34176
20	729	34006
21	760	33807
22	792	33653
23	827	33632
24	857	33448
25	885	33179
26	919	33153
27	955	33165
28	987	33059
29	1019	32952
30	1052	32887
31	1085	32846
32	1117	32737
33	1149	32663
34	1184	32662
35	1222	32747
36	1254	32660
37	1286	32581
38	1320	32545
39	1356	32545
40	1391	32551
41	1422	32446
42	1457	32443
43	1493	32442
44	1523	32328
45	1554	32242
46	1588	32214
47	1624	32211
48	1657	32172
49	1692	32151
50	1724	32087
51	1754	31994
52	1785	31900
53	1813	31771
54	1844	31696
55	1873	31579
56	1903	31487
57	1936	31448
58	1969	31414
59	2003	31387
60	2036	31345
61	2070	31318
62	2102	31277
63	2136	31239
64	2169	31207
65	2205	31208
66	2238	31170
67	2269	31099
68	2302	31067
69	2332	30984
70	2363	30930
71	2395	30875
72	2428	30835
73	2457	30754
74	2496	30790
75	2528	30744
76	2561	30707
77	2593	30656
78	2626	30619
79	2656	30546
80	2687	30494
81	2718	30430
82	2748	30368
83	2785	30378
84	2818	30340
85	2854	30340
86	2887	30303
87	2920	30263
88	2953	30232
89	2986	30194
90	3021	30178
91	3051	30120
92	3086	30104
93	3118	30060
94	3153	30045
95	3186	30007
96	3222	29995
97	3289	30274
98	3330	30307
99	3359	30232
100	3393	30209
101	3425	30158
102	3457	30113
103	3492	30090
104	3527	30071
105	3564	30062
106	3598	30029
107	3632	30004
108	3665	29966
109	3700	29940
110	3732	29892
111	3776	29943
112	3810	29907
113	3843	29867
114	3877	29840
115	3911	29805
116	3942	29757
117	3979	29745
118	4011	29698
119	4048	29687
120	4083	29667
121	4118	29639
122	4151	29601
123	4186	29576
124	4222	29558
125	4255	29519
126	4293	29510
127	4326	29475
128	4361	29451
129	4396	29424
130	4426	29364
131	4458	29319
132	4492	29284
133	4526	29254
134	4558	29210
135	4590	29161
136	4621	29113
137	4657	29091
138	4692	29067
139	4727	29038
140	4759	28997
141	4793	28965
142	4825	28916
143	4859	28886
144	4893	28855
145	4925	28810
146	4956	28762
147	4993	28745
148	5027	28716
149	5060	28678
150	5095	28647
151	5127	28604
152	5158	28554
153	5191	28521
154	5226	28493
155	5262	28471
156	5297	28444
157	5329	28404
158	5360	28352
159	5388	28291
160	5422	28256
161	5455	28221
162	5486	28172
163	5518	28128
164	5552	28096
165	5585	28062
166	5618	28024
167	5649	27980
168	5683	27947
169	5718	27920
170	5748	27866
171	5780	27828
172	5811	27779
173	5843	27740
174	5877	27710
175	5910	27673
176	5942	27632
177	5977	27604
178	6013	27580
179	6091	27749
180	6129	27736
181	6165	27710
182	6198	27673
183	6228	27623
184	6259	27574
185	6292	27539
186	6325	27499
187	6356	27452
188	6389	27415
189	6420	27373
190	6450	27320
191	6483	27286
192	6517	27253
193	6550	27216
194	6581	27169
195	6614	27132
196	6645	27089
197	6684	27074
198	6719	27047
199	6749	26996
200	6781	26955
201	6809	26901
202	6841	26861
203	6878	26839
204	6909	26795
205	6943	26763
206	6979	26736
207	7014	26710
208	7047	26672
209	7081	26639
210	7117	26614
211	7146	26564
212	7177	26518
213	7210	26482
214	7244	26451
215	7283	26437
216	7318	26407
217	7351	26372
218	7388	26350
219	7422	26315
220	7457	26288
221	7492	26256
222	7522	26209
223	7552	26163
224	7588	26136
225	7621	26100
226	7654	26065
227	7688	26033
228	7720	25992
229	7754	25962
230	7792	25941
231	7824	25901
232	7857	25866
233	7893	25839
234	7923	25794
235	7957	25761
236	7993	25734
237	8027	25702
238	8059	25662
239	8094	25632
240	8125	25590
241	8157	25550
242	8188	25509
243	8220	25470
244	8253	25432
245	8284	25393
246	8316	25353
247	8355	25335
248	8389	25302
249	8422	25268
250	8456	25233
251	8493	25210
252	8526	25176
253	8559	25140
254	8592	25104
255	8626	25069
256	8657	25028
257	8690	24993
258	8741	25009
259	8800	25046
260	8835	25016
261	8873	24994
262	8908	24964
263	8937	24916
264	8973	24887
265	9008	24857
266	9044	24830
267	9079	24799
268	9113	24765
269	9145	24725
270	9181	24698
271	9219	24676
272	9252	24638
273	9287	24608
274	9323	24579
275	9356	24544
276	9393	24517
277	9427	24485
278	9459	24446
279	9491	24405
280	9521	24363
281	9556	24332
282	9592	24302
283	9627	24271
284	9661	24239
285	9692	24196
286	9725	24161
287	9755	24117
288	9789	24083
289	9820	24043
290	9853	24006
291	9887	23974
292	9925	23948
293	9959	23916
294	9991	23877
295	10018	23828
296	10055	23801
297	10096	23783
298	10141	23777
299	10179	23751
300	10212	23716
301	10243	23676
302	10277	23641
303	10315	23616
304	10346	23576
305	10376	23533
306	10405	23488
307	10440	23456
308	10475	23425
309	10509	23392
310	10542	23356
311	10576	23322
312	10606	23278
313	10634	23233
314	10671	23206
315	10703	23167
316	10734	23127
317	10769	23096
318	10803	23062
319	10837	23029
320	10870	22992
321	10903	22957
322	10936	22922
323	10972	22892
324	11004	22854
325	11036	22817
326	11068	22779
327	11100	22742
328	11135	22711
329	11174	22687
330	11217	22673
331	11247	22629
332	11282	22598
333	11313	22558
334	11345	22520
335	11379	22489
336	11411	22450
337	11441	22409
338	11470	22366
339	11505	22334
340	11537	22296
341	11566	22253
342	11606	22230
343	11639	22196
344	11670	22156
345	11700	22115
346	11732	22078
347	11764	22041
348	11799	22009
349	11831	21973
350	11864	21937
351	11899	21905
352	11930	21866
353	11965	21835
354	12000	21802
355	12030	21763
356	12060	21722
357	12097	21694
358	12135	21668
359	12168	21632
360	12201	21597
361	12236	21566
362	12269	21531
363	12300	21492
364	12332	21454
365	12367	21424
366	12401	21389
367	12432	21351
368	12463	21312
369	12495	21275
370	12524	21234
371	12558	21201
372	12585	21156
373	12616	21117
374	12647	21079
375	12681	21045
376	12711	21006
377	12743	20970
378	12775	20933
379	12809	20899
380	12838	20858
381	12871	20823
382	12897	20777
383	12923	20731
384	12956	20697
385	12988	20660
386	13017	20619
387	13045	20576
388	13077	20540
389	13114	20511
390	13141	20468
391	13170	20428
392	13205	20396
393	13285	20434
394	13318	20398
395	13351	20363
396	13378	20321
397	13411	20285
398	13446	20253
399	13481	20222
400	13513	20186
401	13547	20152
402	13578	20114
403	13608	20075
404	13636	20034
405	13666	19995
406	13697	19957
407	13730	19923
408	13765	19891
409	13799	19857
410	13829	19818
411	13862	19783
412	13891	19744
413	13922	19707
414	13949	19664
415	13980	19626
416	14013	19592
417	14047	19559
418	14080	19524
419	14111	19487
420	14145	19453
421	14172	19412
422	14199	19368
423	14232	19334
424	14268	19304
425	14300	19268
426	14329	19228
427	14362	19194
428	14391	19154
429	14421	19117
430	14456	19085
431	14490	19052
432	14519	19013
433	14552	18979
434	14578	18934
435	14610	18899
436	14643	18865
437	14678	18834
438	14710	18798
439	14743	18764
440	14775	18729
441	14806	18692
442	14831	18647
443	14865	18615
444	14895	18577
445	14927	18542
446	14963	18512
447	14996	18478
448	15024	18437
449	15059	18405
450	15087	18366
451	15121	18332
452	15154	18299
453	15184	18261
454	15215	18225
455	15249	18192
456	15280	18156
457	15312	18120
458	15343	18085
459	15376	18050
460	15408	18015
461	15441	17981
462	15481	17955
463	15512	17920
464	15545	17885
465	15577	17850
466	15607	17812
467	15635	17774
468	15670	17741
469	15700	17704
470	15732	17669
471	15763	17633
472	15795	17599
473	15825	17561
474	15857	17526
475	15889	17492
476	15923	17459
477	15955	17424
478	15989	17392
479	16025	17360
480	16056	17325
481	16088	17289
482	16118	17253
483	16148	17216
484	16181	17182
485	16211	17145
486	16242	17109
487	16277	17077
488	16306	17039
489	16335	17001
490	16374	16974
491	16416	16949
492	16450	16917
493	16487	16887
494	16517	16851
495	16554	16821
496	16587	16787
497	16620	16753
498	16652	16719
499	16687	16687
500	16724	16657
501	16759	16625
502	16790	16589
503	16822	16555
504	16855	16522
505	16887	16486
506	16919	16451
507	16950	16416
508	16984	16383
509	17013	16346
510	17044	16310
511	17078	16277
512	17108	16241
513	17141	16207
514	17173	16173
515	17207	16140
516	17238	16105
517	17270	16070
518	17339	16070
519	17377	16040
520	17410	16006
521	17442	15972
522	17476	15939
523	17510	15906
524	17540	15870
525	17571	15834
526	17604	15800
527	17635	15764
528	17668	15731
529	17701	15697
530	17733	15662
531	17767	15630
532	17797	15593
533	17831	15560
534	17860	15523
535	17889	15486
536	17927	15456
537	17961	15424
538	17986	15383
539	18016	15347
540	18049	15313
541	18082	15279
542	18114	15245
543	18149	15213
544	18181	15179
545	18213	15144
546	18237	15103
547	18270	15069
548	18302	15035
549	18334	15001
550	18368	14968
551	18398	14932
552	18432	14899
553	18466	14866
554	18491	14826
555	18524	14792
556	18555	14758
557	18585	14721
558	18616	14686
559	18654	14657
560	18682	14619
561	18713	14584
562	18749	14553
563	18781	14518
564	18814	14485
565	18851	14455
566	18884	14421
567	18918	14388
568	18952	14355
569	18984	14321
570	19013	14285
571	19046	14251
572	19076	14215
573	19109	14182
574	19145	14150
575	19178	14117
576	19208	14081
577	19243	14049
578	19272	14013
579	19303	13978
580	19335	13944
581	19371	13913
582	19402	13878
583	19439	13847
584	19469	13811
585	19499	13776
586	19529	13740
587	19560	13705
588	19592	13671
589	19622	13635
590	19658	13604
591	19690	13570
592	19724	13537
593	19758	13505
594	19788	13469
595	19821	13435
596	19854	13402
597	19885	13367
598	19917	13333
599	19949	13299
600	19981	13265
601	20014	13232
602	20047	13198
603	20084	13167
604	20114	13132
605	20147	13099
606	20179	13065
607	20211	13030
608	20247	12999
609	20281	12966
610	20310	12930
611	20334	12891
612	20365	12857
613	20396	12822
614	20425	12786
615	20462	12755
616	20498	12724
617	20527	12688
618	20559	12654
619	20587	12618
620	20620	12584
621	20646	12547
622	20684	12517
623	20722	12486
