canonical_drug_id,drug_name,target,n_patients,mean_expression,std_expression,median_expression,min_expression,max_expression,dataset
1593,Entinostat,HDAC1,111,32.95201981981982,289.0947434547768,5.357,4.6118,3065.0,luad_cptac_2020
1593,Entinostat,HDAC3,111,84.23078198198199,834.9252393720602,4.6045,4.0183,8841.0,luad_cptac_2020
1706,AZD5153,BRD4,111,213.73570630630624,2217.969940342273,2.2376,0.7537,23476.0,luad_cptac_2020
1817,Romidepsin,HDAC1,111,32.95201981981982,289.0947434547768,5.357,4.6118,3065.0,luad_cptac_2020
1817,Romidepsin,HDAC2,111,30.391340540540543,289.4343258568562,2.7288,1.7251,3066.0,luad_cptac_2020
1817,Romidepsin,HDAC3,111,84.23078198198199,834.9252393720602,4.6045,4.0183,8841.0,luad_cptac_2020
1817,Romidepsin,HDAC8,111,506.0423612612613,5278.650903995627,2.7383,1.8613,55869.0,luad_cptac_2020
1843,LMP744,TOP1,111,69.67847657657659,675.0823660362348,5.3449,3.9975,7150.0,luad_cptac_2020
1016,Temsirolimus,MTOR,111,26.3029018018018,233.47433060523218,4.0305,3.2057,2475.0,luad_cptac_2020
1051,Alisertib,AURKA,111,63.77076306306307,641.3217438795725,2.6933,0.4042,6790.0,luad_cptac_2020
1917,AZD6738,ATR,111,8.882710810810812,51.11779537210312,4.0145,3.0239,545.0,luad_cptac_2020
1096,Tozasertib,AURKA,111,63.77076306306307,641.3217438795725,2.6933,0.4042,6790.0,luad_cptac_2020
1096,Tozasertib,AURKB,111,85.12394864864866,870.2144146567281,2.3544,-0.931,9212.0,luad_cptac_2020
1096,Tozasertib,AURKC,111,60.02144414414416,642.1554238921311,-1.1617,-2.8388,6795.0,luad_cptac_2020
1613,VE-822,ATR,111,8.882710810810812,51.11779537210312,4.0145,3.0239,545.0,luad_cptac_2020
1617,AZD5582,XIAP,111,7.1212045045045045,30.883596858974144,4.1612,2.8219,331.0,luad_cptac_2020
1237,EPZ004777,DOT1L,111,762.4655117117115,7978.721275953423,1.7974,0.2369,84444.0,luad_cptac_2020
1039,SL0101,AURKB,111,85.12394864864866,870.2144146567281,2.3544,-0.931,9212.0,luad_cptac_2020
1039,SL0101,PIM1,111,51.50685675675676,499.6618587748077,3.738,2.201,5292.0,luad_cptac_2020
1039,SL0101,PIM3,111,3744.558995495495,39222.727933629,4.7644,3.5884,415116.0,luad_cptac_2020
1581,Bromosporine,CECR2,111,247.88855135135134,2592.9527751978135,1.0056,-5.6066,27443.0,luad_cptac_2020
1581,Bromosporine,BRD2,111,59.59591441441442,570.7813154713099,5.1285,4.4633,6046.0,luad_cptac_2020
1581,Bromosporine,BRD4,111,213.73570630630624,2217.969940342273,2.2376,0.7537,23476.0,luad_cptac_2020
1581,Bromosporine,BRD9,111,598.5963468468469,6233.8722605946705,4.1177,3.4463,65980.0,luad_cptac_2020
1598,LGK974,PORCN,111,586.2748801801802,6126.352340221413,2.1002,0.3728,64840.0,luad_cptac_2020
1922,Cediranib,FLT1,111,23.68463513513513,219.041480784622,2.9286,0.8861,2321.0,luad_cptac_2020
1922,Cediranib,FLT3,111,20.259826126126136,219.4642749497425,-0.578,-3.7959,2322.0,luad_cptac_2020
1922,Cediranib,FLT4,111,22.492481081081074,219.44130217424393,1.5553,0.1998,2324.0,luad_cptac_2020
1922,Cediranib,KIT,111,37.939861261261264,360.131410007472,3.574,0.2856,3815.0,luad_cptac_2020
1922,Cediranib,PDGFRB,111,50.84204594594597,487.0442082948123,4.4103,2.0141,5159.0,luad_cptac_2020
1940,WIKI4,TNKS2,111,728.470606306306,7591.710309093243,4.6753,3.8503,80351.0,luad_cptac_2020
1091,BMS-536924,IGF1R,111,34.296733333333336,328.53590490572105,2.9421,1.5145,3480.0,luad_cptac_2020
1626,OTX015,BRD2,111,59.59591441441442,570.7813154713099,5.1285,4.4633,6046.0,luad_cptac_2020
1626,OTX015,BRD3,111,74.36379819819818,757.4914613947215,2.1439,1.0265,8019.0,luad_cptac_2020
1626,OTX015,BRD4,111,213.73570630630624,2217.969940342273,2.2376,0.7537,23476.0,luad_cptac_2020
1910,ABT737,BCL2,111,7.203057657657657,56.14388780592454,1.8041,-0.3544,596.0,luad_cptac_2020
2172,JQ1,BRD2,111,59.59591441441442,570.7813154713099,5.1285,4.4633,6046.0,luad_cptac_2020
2172,JQ1,BRD3,111,74.36379819819818,757.4914613947215,2.1439,1.0265,8019.0,luad_cptac_2020
2172,JQ1,BRD4,111,213.73570630630624,2217.969940342273,2.2376,0.7537,23476.0,luad_cptac_2020
2172,JQ1,BRDT,102,4.475373529411766,66.90697155353158,-2.75755,-7.3259,676.0,luad_cptac_2020
1054,Palbociclib,CDK4,111,13.65408468468468,95.85852777893336,4.442,3.3447,1019.0,luad_cptac_2020
1054,Palbociclib,CDK6,111,11.791818918918922,96.22728978132083,2.5443,0.7736,1021.0,luad_cptac_2020
1808,Topotecan,TOP1,111,69.67847657657659,675.0823660362348,5.3449,3.9975,7150.0,luad_cptac_2020
1593,Entinostat,HDAC1,109,28.680772477064213,292.17031777081473,0.5142,-0.2836,3065.0,lusc_cptac_2021
1593,Entinostat,HDAC3,109,81.29119633027524,842.9034222554485,0.1578,-0.3991,8841.0,lusc_cptac_2021
1706,AZD5153,BRD4,109,215.571528440367,2238.2358629298737,0.1689,-1.1674,23476.0,lusc_cptac_2021
1817,Romidepsin,HDAC1,109,28.680772477064213,292.17031777081473,0.5142,-0.2836,3065.0,lusc_cptac_2021
1817,Romidepsin,HDAC2,109,28.827107339449547,292.25259959461476,0.6842,-0.7519,3066.0,lusc_cptac_2021
1817,Romidepsin,HDAC3,109,81.29119633027524,842.9034222554485,0.1578,-0.3991,8841.0,lusc_cptac_2021
1817,Romidepsin,HDAC8,109,512.5960256880734,5326.6724633440235,0.0244,-0.6626,55869.0,lusc_cptac_2021
1843,LMP744,TOP1,109,65.58630000000002,681.6981118043105,0.028,-0.9425,7150.0,lusc_cptac_2021
1016,Temsirolimus,MTOR,109,22.896539449541297,235.95403592888573,0.1489,-0.46,2475.0,lusc_cptac_2021
1051,Alisertib,AURKA,109,63.361229357798166,647.2714182437613,1.1428,-0.4336,6790.0,lusc_cptac_2021
1917,AZD6738,ATR,109,5.566939449541282,51.90913106001911,0.526,-1.3154,545.0,lusc_cptac_2021
1096,Tozasertib,AURKA,109,63.361229357798166,647.2714182437613,1.1428,-0.4336,6790.0,lusc_cptac_2021
1096,Tozasertib,AURKB,109,85.75665963302752,878.1735098237788,1.2813,-0.7219,9212.0,lusc_cptac_2021
1096,Tozasertib,AURKC,109,62.424881651376126,647.843060970259,0.0277,-2.8801,6795.0,lusc_cptac_2021
1613,VE-822,ATR,109,5.566939449541282,51.90913106001911,0.526,-1.3154,545.0,lusc_cptac_2021
1617,AZD5582,XIAP,109,3.07486513761468,31.556628681352034,0.0576,-1.1755,331.0,lusc_cptac_2021
1237,EPZ004777,DOT1L,109,774.6498229357796,8051.086993204553,-0.0509,-1.4282,84444.0,lusc_cptac_2021
1039,SL0101,AURKB,109,85.75665963302752,878.1735098237788,1.2813,-0.7219,9212.0,lusc_cptac_2021
1039,SL0101,PIM1,109,48.54782935779817,504.55182300970085,0.0057,-1.5982,5292.0,lusc_cptac_2021
1039,SL0101,PIM3,109,3808.3156137614683,39578.10038783566,-0.1111,-1.8463,415116.0,lusc_cptac_2021
1581,Bromosporine,CECR2,109,251.06952110091748,2616.5453273160074,-0.4727,-7.4035,27443.0,lusc_cptac_2021
1581,Bromosporine,BRD2,109,55.45809908256883,576.4402753612146,-0.0571,-0.8151,6046.0,lusc_cptac_2021
1581,Bromosporine,BRD4,109,215.571528440367,2238.2358629298737,0.1689,-1.1674,23476.0,lusc_cptac_2021
1581,Bromosporine,BRD9,109,605.8047642201833,6290.6348867802735,0.46,-0.6113,65980.0,lusc_cptac_2021
1598,LGK974,PORCN,109,595.339029357798,6181.945419734266,0.452,-1.2776,64840.0,lusc_cptac_2021
1922,Cediranib,FLT1,109,20.89995137614679,221.32794362420816,-0.3704,-1.8355,2321.0,lusc_cptac_2021
1922,Cediranib,FLT3,109,20.664598165137612,221.44921638990988,-0.6402,-3.2808,2322.0,lusc_cptac_2021
1922,Cediranib,FLT4,109,20.29055596330276,221.6761373209448,-1.0515,-2.8693,2324.0,lusc_cptac_2021
1922,Cediranib,KIT,109,33.90791467889909,363.8386912399993,-1.11,-3.9262,3815.0,lusc_cptac_2021
1922,Cediranib,PDGFRB,109,46.9660018348624,491.90648647748753,-0.2321,-2.6102,5159.0,lusc_cptac_2021
1940,WIKI4,TNKS2,109,737.11872293578,7660.8493022859075,-0.0322,-0.6188,80351.0,lusc_cptac_2021
1091,BMS-536924,IGF1R,109,32.35140275229358,331.75115219776364,0.5079,-1.5907,3480.0,lusc_cptac_2021
1626,OTX015,BRD2,109,55.45809908256883,576.4402753612146,-0.0571,-0.8151,6046.0,lusc_cptac_2021
1626,OTX015,BRD3,109,73.53827339449542,764.5525578457389,-0.0614,-1.0516,8019.0,lusc_cptac_2021
1626,OTX015,BRD4,109,215.571528440367,2238.2358629298737,0.1689,-1.1674,23476.0,lusc_cptac_2021
1910,ABT737,BCL2,109,5.55918623853211,56.823547902260145,-0.0178,-1.9592,596.0,lusc_cptac_2021
2172,JQ1,BRD2,109,55.45809908256883,576.4402753612146,-0.0571,-0.8151,6046.0,lusc_cptac_2021
2172,JQ1,BRD3,109,73.53827339449542,764.5525578457389,-0.0614,-1.0516,8019.0,lusc_cptac_2021
2172,JQ1,BRD4,109,215.571528440367,2238.2358629298737,0.1689,-1.1674,23476.0,lusc_cptac_2021
2172,JQ1,BRDT,82,9.89429268292683,74.10680902188932,-0.19705,-2.3149,676.0,lusc_cptac_2021
1054,Palbociclib,CDK4,109,9.99153577981651,97.09297607753768,0.6837,-0.3724,1019.0,lusc_cptac_2021
1054,Palbociclib,CDK6,109,9.92213486238532,97.29433289889869,0.5999,-2.0686,1021.0,lusc_cptac_2021
1808,Topotecan,TOP1,109,65.58630000000002,681.6981118043105,0.028,-0.9425,7150.0,lusc_cptac_2021
