canonical_drug_id,drug_name,target,in_2b,in_2c,rank_2b,rank_2c,prediction_score,prism_validated,clinical_trials_validated,cosmic_validated,cptac_validated,n_clinical_trials,n_cosmic_records,target_expression,validation_score,multi_objective_score,confidence,final_rank
1080,Paclitaxel,Microtubule stabiliser,True,True,4.0,1.0,0.625,True,True,True,False,489,735,0.0,0.75,0.675,75,1
1808,Topotecan,TOP1,True,True,3.0,5.0,0.26666666666666666,True,True,True,True,63,13,67.6323882882883,1.0,0.5394299054954954,100,2
1819,Docetaxel,Microtubule stabiliser,True,True,5.0,6.0,0.18333333333333335,True,True,True,False,423,311,0.0,0.75,0.49833333333333335,75,3
1007,Docetaxel,Microtubule stabiliser,True,True,6.0,16.0,0.11458333333333333,True,True,True,False,423,311,0.0,0.75,0.4708333333333333,75,4
1811,Dactinomycin,RNA polymerase,True,True,1.0,2.0,0.75,True,False,True,False,0,4,0.0,0.5,0.45000000000000007,50,5
2048,Vinorelbine,Microtubule destabiliser,False,True,,19.0,0.05263157894736842,True,True,True,False,65,106,0.0,0.75,0.37605263157894736,75,6
1054,Palbociclib,"CDK4, CDK6",True,True,19.0,8.0,0.08881578947368421,True,True,True,True,17,308,11.339893561451358,1.0,0.3706603051456188,100,7
1016,Temsirolimus,MTOR,True,False,10.0,,0.1,True,True,True,True,12,31,24.599720625671548,1.0,0.36645997206256714,100,8
1593,Entinostat,"HDAC1, HDAC3",True,True,30.0,18.0,0.04444444444444444,True,True,True,True,13,15,56.78869265228531,1.0,0.34945664704300633,100,9
1039,SL0101,"RSK, AURKB, PIM1, PIM3",True,True,2.0,3.0,0.41666666666666663,False,False,False,True,0,0,1303.9683172755322,0.25,0.3416666666666667,25,10
1051,Alisertib,AURKA,True,True,23.0,21.0,0.045548654244306416,True,True,True,True,7,22,63.56599621043062,1.0,0.3385760613187656,100,11
1817,Romidepsin,"HDAC1, HDAC2, HDAC3, HDAC8",True,False,29.0,,0.034482758620689655,True,True,True,True,3,3,163.12645067980827,1.0,0.33610574851625663,100,12
1922,Cediranib,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",False,True,,23.0,0.043478260869565216,True,True,True,True,3,16,29.794787156789823,1.0,0.3263707830635051,100,13
1598,LGK974,PORCN,True,False,17.0,,0.058823529411764705,True,True,False,True,1,0,590.806954768989,0.75,0.30961010724160476,75,14
1511,Epirubicin,Anthracycline,True,True,9.0,4.0,0.18055555555555555,True,True,True,False,1,126,0.0,0.75,0.2992222222222222,75,15
1626,OTX015,"BRD2, BRD3, BRD4",False,True,,7.0,0.14285714285714285,True,True,False,True,2,0,115.37721997272502,0.75,0.29768057914012963,75,16
1084,Rapamycin,MTORC1,True,True,25.0,20.0,0.045,True,True,True,False,13,7,0.0,0.75,0.26899999999999996,75,17
1908,Ulixertinib,"ERK1, ERK2",False,True,,15.0,0.06666666666666667,True,True,True,False,3,10,0.0,0.75,0.25766666666666665,75,18
1004,Vinblastine,Microtubule destabiliser,True,False,14.0,,0.07142857142857142,True,True,True,False,1,8,0.0,0.75,0.25557142857142856,75,19
1613,VE-822,ATR,False,True,,28.0,0.03571428571428571,True,True,False,True,7,0,7.224825130176047,0.75,0.2540081967987319,75,20
1026,Tanespimycin,HSP90,True,False,16.0,,0.0625,True,True,True,False,1,7,0.0,0.75,0.25199999999999995,75,21
1096,Tozasertib,"AURKA, AURKB, AURKC, others",False,True,,24.0,0.041666666666666664,True,False,True,True,0,7,70.07648774967629,0.75,0.24867431544163426,75,22
1917,AZD6738,ATR,False,True,,26.0,0.038461538461538464,True,True,False,True,2,0,7.224825130176047,0.75,0.24510709789763296,75,23
1237,EPZ004777,DOT1L,False,True,,22.0,0.045454545454545456,True,False,False,True,0,0,768.5576673237456,0.5,0.24503758491419275,50,24
1940,WIKI4,"TNKS1, TNKS2",False,True,,25.0,0.04,True,False,False,True,0,0,732.794664621043,0.5,0.2392794664621043,50,25
1581,Bromosporine,"CECR2, BRD2, BRD4, BRD9",True,False,13.0,,0.07692307692307693,True,False,False,True,0,0,280.96505397036947,0.5,0.20886573616626772,50,26
1706,AZD5153,BRD4,True,False,12.0,,0.08333333333333333,False,False,True,True,0,2,214.6536173733366,0.5,0.20479869507066698,50,27
1911,Dactinomycin,RNA polymerase,True,True,7.0,9.0,0.12698412698412698,True,False,True,False,0,4,0.0,0.5,0.2007936507936508,50,28
1810,Mitoxantrone,TOP2,True,True,8.0,14.0,0.09821428571428571,True,False,True,False,0,56,0.0,0.5,0.18928571428571428,50,29
1809,Teniposide,,True,True,11.0,11.0,0.09090909090909091,True,False,True,False,0,2,0.0,0.5,0.18636363636363637,50,30
1802,Zoledronate, ,False,True,,12.0,0.08333333333333333,False,True,False,False,12,0,0.0,0.25,0.13233333333333333,25,31
1072,Avagacestat,"Amyloid beta20, Amyloid beta40",False,True,,13.0,0.07692307692307693,True,False,False,False,0,0,0.0,0.25,0.10576923076923077,25,32
