cancer,canonical_drug_id,ev_composite_0_10,graph_luad_caveat,mandatory_caveat,drug_name,score_clinical_trial,score_approved_ind,admet_tier,final_priority_score,final_recommendation_tier,admet_status_22assay,rank,drug_level_score,final_rank_by_cancer,final_rank_overall,drug_repurposing_category,n_clinicaltrials_studies_total,fda_approved_cancer_based,rank_step5,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule
brca,1375,8.0,False,,Temozolomide,2,2,D,0.6200000000000001,Priority 2,WARNING,2,6.8882608780791,1,1,current_use_same_cancer,21,True,5.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1089,8.0,False,,Oxaliplatin,2,2,C,0.7250000000000001,Priority 1,WARNING,4,5.577161344702366,2,2,current_use_same_cancer,49,True,7.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1806,8.0,False,,Oxaliplatin,2,2,C,0.7250000000000001,Priority 1,WARNING,7,5.268382980399586,3,3,current_use_same_cancer,49,True,12.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1507,7.0,False,,Ruxolitinib,2,2,C,0.66,Priority 2,PASS,6,5.317588207291356,4,4,current_use_same_cancer,12,True,11.0,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_CANCER_BASED_or_CT>=3)
brca,1847,6.0,False,,BEN,0,2,A,0.8049999999999999,Priority 1,WARNING,5,5.52592408768257,5,5,indication_expansion_candidate,0,False,9.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1373,4.0,False,,Dabrafenib,1,2,D,0.36,Backup,WARNING,10,5.0027772280372265,6,6,current_use_same_cancer,2,True,21.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1073,3.0,False,,5-Fluorouracil,2,0,C,0.4,Backup,WARNING,8,5.1948658760674435,7,7,indication_expansion_candidate,190,False,14.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1177,2.0,False,,Niraparib,2,0,D,0.23,Backup,WARNING,15,4.826517678969729,8,8,indication_expansion_candidate,29,False,29.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
brca,1736,2.0,False,,Selumetinib,2,0,D,0.23,Backup,PASS,25,,9,9,indication_expansion_candidate,12,False,,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_CANCER_BASED_or_CT>=3)
brca,2438,1.0,False,,ascorbate (vitamin C),1,0,B,0.375,Backup,WARNING,1,9.954418318753856,10,10,indication_expansion_candidate,1,False,1.0,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING
