cancer,final_rank_by_cancer,final_rank_overall,canonical_drug_id,drug_name,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,fda_approved_cancer_based,fda_approved_gastric_proxy,admet_status_22assay,drug_repurposing_category,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,repurposing_tier3_code,repurposing_tier3_ko,repurposing_tier3_rule,final_priority_score,final_recommendation_tier,admet_tier,ev_composite_0_10
brca,1,1,1375,Temozolomide,2,2,21,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.6200000000000001,Priority 2,D,8.0
brca,2,2,1089,Oxaliplatin,2,2,49,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.7250000000000001,Priority 1,C,8.0
brca,3,3,1806,Oxaliplatin,2,2,49,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.7250000000000001,Priority 1,C,8.0
brca,4,4,1507,Ruxolitinib,2,2,12,True,True,PASS,current_use_same_cancer,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_GASTRIC_PROXY_or_CT>=3),legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.66,Priority 2,C,7.0
brca,5,5,1847,BEN,2,0,0,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.8049999999999999,Priority 1,A,6.0
brca,6,6,1373,Dabrafenib,2,1,2,True,True,WARNING,current_use_same_cancer,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.36,Backup,D,4.0
brca,7,7,1073,5-Fluorouracil,0,2,190,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.4,Backup,C,3.0
brca,8,8,1177,Niraparib,0,2,29,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.23,Backup,D,2.0
brca,9,9,1736,Selumetinib,0,2,12,False,False,PASS,indication_expansion_candidate,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_GASTRIC_PROXY_or_CT>=3),legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.23,Backup,D,2.0
brca,10,10,2438,ascorbate (vitamin C),0,1,1,False,False,WARNING,indication_expansion_candidate,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,legacy_recomputed,legacy_recomputed,replaced_by_protocol_stage,0.375,Backup,B,1.0
