cancer,selected_top15,recommendation_stage_code,cutoff_reason,count
brca,False,stage2_evidence_review,not_selected_rank_outside_top15_after_stage_order,2
brca,False,stage3_exploratory_supportive,not_selected_stage3_warning_priority,13
brca,True,stage1_transition_standard,selected_top15_by_step7_protocol_rank,2
brca,True,stage2_evidence_review,selected_top15_by_step7_protocol_rank,1
brca,True,stage3_exploratory_supportive,selected_top15_by_step7_protocol_rank,12
crc,False,stage2_evidence_review,not_selected_rank_outside_top15_after_stage_order,4
crc,False,stage3_exploratory_supportive,not_selected_stage3_warning_priority,11
crc,True,stage1_transition_standard,selected_top15_by_step7_protocol_rank,3
crc,True,stage3_exploratory_supportive,selected_top15_by_step7_protocol_rank,12
luad,False,stage2_evidence_review,not_selected_rank_outside_top15_after_stage_order,4
luad,False,stage3_exploratory_supportive,not_selected_stage3_warning_priority,11
luad,True,stage1_transition_standard,selected_top15_by_step7_protocol_rank,1
luad,True,stage2_evidence_review,selected_top15_by_step7_protocol_rank,1
luad,True,stage3_exploratory_supportive,selected_top15_by_step7_protocol_rank,13
stad,False,stage2_evidence_review,not_selected_rank_outside_top15_after_stage_order,2
stad,False,stage3_exploratory_supportive,not_selected_stage3_warning_priority,13
stad,True,stage2_evidence_review,selected_top15_by_step7_protocol_rank,1
stad,True,stage3_exploratory_supportive,selected_top15_by_step7_protocol_rank,14
