cancer,rank,canonical_drug_id,drug_name_x,canonical_smiles_x,score_clinical_trial_x,score_approved_ind_x,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10_x,n_clinicaltrials_studies_total_x,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank,drug_name_y,canonical_smiles_y,ev_composite_0_10_y,score_approved_ind_y,score_clinical_trial_y,n_clinicaltrials_studies_total_y,fda_approved_cancer_based,drug_name,canonical_smiles,ev_composite_0_10,score_approved_ind,score_clinical_trial,n_clinicaltrials_studies_total,admet_status_22assay,recommendation_stage_code,recommendation_stage_label_ko,recommendation_stage_rule,protocol_stage_rank_within_top30,selected_top15,cutoff_reason
brca,2,1375,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,2,2,0,0,1,2,1,0.0,8.0,21,CHEMBL810,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,5.0,6.8882608780791,7.68732608145712,50.0,46.0,False,False,0,176.0,45.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,8.0,0.0,1,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,8.0,2,2,21,True,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,8.0,2,2,21,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,1,True,selected_top15_by_step7_protocol_rank
brca,4,1089,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,7.0,5.577161344702366,18.64406779661017,50.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,8.0,0.0,2,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,8.0,2,2,49,True,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,8.0,2,2,49,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,2,True,selected_top15_by_step7_protocol_rank
brca,7,1806,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,12.0,5.268382980399586,14.350282485875704,41.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,8.0,0.0,3,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,8.0,2,2,49,True,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,8.0,2,2,49,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,3,True,selected_top15_by_step7_protocol_rank
brca,6,1507,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2,2,2,0,0,1,0,0.0,7.0,12,CHEMBL1789941,,,True,False,,11.0,5.317588207291356,15.932203389830509,45.0,,False,,0,496.0,70.0,2.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,2,0,2,0,False,,gdsc|prism,2,False,5.0,2.0,4,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.0,2,2,12,True,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,7.0,2,2,12,PASS,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_CANCER_BASED_or_CT>=3),4,True,selected_top15_by_step7_protocol_rank
brca,5,1847,BEN,C1=CC=C(C=C1)C(=N)N,0,2,3,0,0,1,0,0.0,6.0,0,CHEMBL420,,,True,False,,9.0,5.52592408768257,13.672316384180789,41.0,,False,,0,168.0,85.0,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,3.0,3.0,5,BEN,C1=CC=C(C=C1)C(=N)N,6.0,2,0,0,False,BEN,C1=CC=C(C=C1)C(=N)N,6.0,2,0,0,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,5,True,selected_top15_by_step7_protocol_rank
brca,10,1373,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,2,0,0,0,1,0,0.0,4.0,2,CHEMBL2028663,,,True,False,,21.0,5.0027772280372265,13.676279618854878,50.0,46.0,False,False,0,120.0,30.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,4.0,0.0,6,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,4.0,2,1,2,True,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,4.0,2,1,2,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,6,True,selected_top15_by_step7_protocol_rank
brca,8,1073,5-Fluorouracil,FC1=CNC(=O)NC1=O,2,0,1,0,0,0,0,0.0,3.0,190,,,,True,False,,14.0,5.1948658760674435,25.31073446327683,51.0,,False,,0,176.0,65.0,1.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,1,0,1,0,False,,gdsc|prism,2,False,2.0,1.0,7,5-Fluorouracil,FC1=CNC(=O)NC1=O,3.0,0,2,190,False,5-Fluorouracil,FC1=CNC(=O)NC1=O,3.0,0,2,190,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,7,True,selected_top15_by_step7_protocol_rank
brca,15,1177,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2,0,0,0,0,0,0,0.0,2.0,29,CHEMBL6329,,,True,False,,29.0,4.826517678969729,16.15819209039548,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,2.0,0.0,8,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2.0,0,2,29,False,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2.0,0,2,29,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,8,True,selected_top15_by_step7_protocol_rank
brca,25,1736,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,2,0,0,0,0,0,0,0.0,2.0,12,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,2.0,0.0,9,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,2.0,0,2,12,False,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,2.0,0,2,12,PASS,stage1_transition_standard,1단계 약물,ADMET_PASS_and_(FDA_APPROVED_CANCER_BASED_or_CT>=3),9,True,selected_top15_by_step7_protocol_rank
brca,1,2438,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,1,0,0,0,0,0,0,0.0,1.0,1,,,,True,False,,1.0,9.954418318753856,18.870056497175145,43.0,,False,,0,168.0,10.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,1.0,0.0,10,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,1.0,0,1,1,False,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,1.0,0,1,1,WARNING,stage3_exploratory_supportive,3단계 약물,ADMET_WARNING,10,True,selected_top15_by_step7_protocol_rank
