cancer,rank,canonical_drug_id,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10,n_clinicaltrials_studies_total,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,rank_step5,drug_level_score,integrated_mean_of_three,G2_n_cells,G1_n_cells,flag_conflict_LN_divergent,flag_conflict_AUC_divergent,gdsc_response_score,prism_n_values,sensitivity_percentile_within_cancer_x,prism_response_evidence_score,prism_match_type,prism_manual_review_mapping_flag,ctrp_n_values,sensitivity_percentile_within_cancer_y,ctrp_response_evidence_score,ctrp_match_type,manual_review,prism_response_score,ctrp_response_score_if_available,combined_external_response_score,score_ext_response_old,ctrp_partial_evidence_flag,ctrp_partial_evidence_note,external_response_sources_available,external_response_source_count,response_conflict_caveat,ev_composite_0_10_old,ev_delta_from_multiresponse,ev_selected_rank
brca,2,1375,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,2,2,0,0,1,2,1,0.0,8.0,21,CHEMBL810,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,5.0,6.8882608780791,7.68732608145712,50.0,46.0,False,False,0,176.0,45.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,8.0,0.0,1
brca,4,1089,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,7.0,5.577161344702366,18.64406779661017,50.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,8.0,0.0,2
brca,7,1806,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,12.0,5.268382980399586,14.350282485875704,41.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,8.0,0.0,3
brca,6,1507,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2,2,2,0,0,1,0,0.0,7.0,12,CHEMBL1789941,,,True,False,,11.0,5.317588207291356,15.932203389830509,45.0,,False,,0,496.0,70.0,2.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,2,0,2,0,False,,gdsc|prism,2,False,5.0,2.0,4
brca,5,1847,BEN,C1=CC=C(C=C1)C(=N)N,0,2,3,0,0,1,0,0.0,6.0,0,CHEMBL420,,,True,False,,9.0,5.52592408768257,13.672316384180789,41.0,,False,,0,168.0,85.0,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,3.0,3.0,5
brca,10,1373,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,2,0,0,0,1,0,0.0,4.0,2,CHEMBL2028663,,,True,False,,21.0,5.0027772280372265,13.676279618854878,50.0,46.0,False,False,0,120.0,30.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,4.0,0.0,6
brca,8,1073,5-Fluorouracil,FC1=CNC(=O)NC1=O,2,0,1,0,0,0,0,0.0,3.0,190,,,,True,False,,14.0,5.1948658760674435,25.31073446327683,51.0,,False,,0,176.0,65.0,1.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,1,0,1,0,False,,gdsc|prism,2,False,2.0,1.0,7
brca,15,1177,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2,0,0,0,0,0,0,0.0,2.0,29,CHEMBL6329,,,True,False,,29.0,4.826517678969729,16.15819209039548,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,2.0,0.0,8
brca,25,1736,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,2,0,0,0,0,0,0,0.0,2.0,12,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,2.0,0.0,9
brca,1,2438,ascorbate (vitamin C),C(C(C1C(=C(C(=O)O1)[O-])O)O)O,1,0,0,0,0,0,0,0.0,1.0,1,,,,True,False,,1.0,9.954418318753856,18.870056497175145,43.0,,False,,0,168.0,10.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,1.0,0.0,10
brca,11,1629,ML323,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,0,0,1,0,0,0,0,0.0,1.0,0,,,,True,False,,22.0,4.9590344846802275,56.610169491525426,45.0,,False,,1,248.0,25.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,1,0,False,,gdsc|prism,2,False,0.0,1.0,11
brca,24,1925,GDC0810,CCC(=C(C1=CC=C(C=C1)C=CC(=O)O)C2=CC3=C(C=C2)NN=C3)C4=C(C=C(C=C4)F)Cl,1,0,0,0,0,0,0,0.0,1.0,4,CHEMBL6329,,,True,False,,,,,,,,,0,,,,,True,,,,,,0,0,0,0,False,,,0,False,1.0,0.0,12
brca,3,1615,CZC24832,CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C(=C2)F,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,6.0,5.6441292000986065,28.24858757062147,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,13
brca,9,2360,THR-101,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,16.0,5.044570273561187,32.881355932203384,44.0,,False,,0,344.0,40.0,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,0.0,0.0,14
brca,12,1237,EPZ004777,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=CC4=C(N=CN=C43)N)O)O,0,0,0,0,0,0,0,0.0,0.0,0,,,,True,False,,23.0,4.924561685558328,30.395480225988695,50.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,0.0,0.0,15
crc,5,1813,Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,2,2,0,0,2,2,1,0.0,9.0,53,CHEMBL1096882,"CHEMBL2095215, CHEMBL2363042",Ribonucleoside-diphosphate reductase RR1 inhibitor (target CHEMBL2095215); DNA polymerase (alpha/delta/epsilon) inhibitor (target CHEMBL2363042),True,False,,11.0,5.480882863926768,21.01694915254237,45.0,,False,,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,9.0,0.0,1
crc,3,1512,Cyclophosphamide,O.O=P1(N(CCCl)CCCl)NCCCO1,2,2,0,0,1,2,1,0.0,8.0,85,CHEMBL1200796,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,9.0,5.55198872178371,13.107344632768362,44.0,,False,,0,224.0,10.526315789473692,0.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc|prism,2,False,8.0,0.0,2
crc,6,1020,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2,2,0,0,1,2,1,0.0,8.0,7,CHEMBL848,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase inhibitor (target CHEMBL3833061),True,False,,12.0,5.467791195521722,13.987604351125723,45.0,44.0,False,False,0,0.0,,0.0,unmatched,True,0.0,,0.0,unmatched,True,0,0,0,0,False,,gdsc,1,False,8.0,0.0,3
crc,7,2043,BIBR-1532,CC(=CC(=O)NC1=CC=CC=C1C(=O)O)C2=CC3=CC=CC=C3C=C2,0,0,3,0,0,0,0,0.0,3.0,0,,,,True,False,,23.0,5.168885126330407,19.09604519774011,41.0,,False,,0,230.0,94.73684210526316,3.0,broad_id_partial_recovery_manual_review,True,0.0,,0.0,unmatched,True,3,0,3,0,False,,gdsc|prism,2,False,0.0,3.0,4
