feature,source
drug_has_valid_smiles,drug_chem_features.parquet
drug_morgan_0000,drug_chem_features.parquet
drug_morgan_0001,drug_chem_features.parquet
drug_morgan_0002,drug_chem_features.parquet
drug_morgan_0003,drug_chem_features.parquet
drug_morgan_0004,drug_chem_features.parquet
drug_morgan_0005,drug_chem_features.parquet
drug_morgan_0006,drug_chem_features.parquet
drug_morgan_0007,drug_chem_features.parquet
drug_morgan_0008,drug_chem_features.parquet
drug_morgan_0009,drug_chem_features.parquet
drug_morgan_0010,drug_chem_features.parquet
drug_morgan_0011,drug_chem_features.parquet
drug_morgan_0012,drug_chem_features.parquet
drug_morgan_0013,drug_chem_features.parquet
drug_morgan_0014,drug_chem_features.parquet
drug_morgan_0015,drug_chem_features.parquet
drug_morgan_0016,drug_chem_features.parquet
drug_morgan_0017,drug_chem_features.parquet
drug_morgan_0018,drug_chem_features.parquet
drug_morgan_0019,drug_chem_features.parquet
drug_morgan_0020,drug_chem_features.parquet
drug_morgan_0021,drug_chem_features.parquet
drug_morgan_0022,drug_chem_features.parquet
drug_morgan_0023,drug_chem_features.parquet
drug_morgan_0024,drug_chem_features.parquet
drug_morgan_0025,drug_chem_features.parquet
drug_morgan_0026,drug_chem_features.parquet
drug_morgan_0027,drug_chem_features.parquet
drug_morgan_0028,drug_chem_features.parquet
drug_morgan_0029,drug_chem_features.parquet
drug_morgan_0030,drug_chem_features.parquet
drug_morgan_0031,drug_chem_features.parquet
drug_morgan_0032,drug_chem_features.parquet
drug_morgan_0033,drug_chem_features.parquet
drug_morgan_0034,drug_chem_features.parquet
drug_morgan_0035,drug_chem_features.parquet
drug_morgan_0036,drug_chem_features.parquet
drug_morgan_0037,drug_chem_features.parquet
drug_morgan_0038,drug_chem_features.parquet
drug_morgan_0039,drug_chem_features.parquet
drug_morgan_0040,drug_chem_features.parquet
drug_morgan_0041,drug_chem_features.parquet
drug_morgan_0042,drug_chem_features.parquet
drug_morgan_0043,drug_chem_features.parquet
drug_morgan_0044,drug_chem_features.parquet
drug_morgan_0045,drug_chem_features.parquet
drug_morgan_0046,drug_chem_features.parquet
drug_morgan_0047,drug_chem_features.parquet
drug_morgan_0048,drug_chem_features.parquet
drug_morgan_0049,drug_chem_features.parquet
drug_morgan_0050,drug_chem_features.parquet
drug_morgan_0051,drug_chem_features.parquet
drug_morgan_0052,drug_chem_features.parquet
drug_morgan_0053,drug_chem_features.parquet
drug_morgan_0054,drug_chem_features.parquet
drug_morgan_0055,drug_chem_features.parquet
drug_morgan_0056,drug_chem_features.parquet
drug_morgan_0057,drug_chem_features.parquet
drug_morgan_0058,drug_chem_features.parquet
drug_morgan_0059,drug_chem_features.parquet
drug_morgan_0060,drug_chem_features.parquet
drug_morgan_0061,drug_chem_features.parquet
