cancer,category,count,ratio,selected_feature_count
stad,sample_numeric,0,0.0,3043
stad,expression,3042,0.9996713769306605,3043
stad,pathway,0,0.0,3043
stad,drug_chem,0,0.0,3043
stad,smiles_derived,1,0.00032862306933946765,3043
stad,target,0,0.0,3043
stad,lincs,0,0.0,3043
stad,context,0,0.0,3043
stad,metadata,0,0.0,3043
stad,unknown,0,0.0,3043
brca,sample_numeric,0,0.0,3047
brca,expression,3046,0.9996718083360683,3047
brca,pathway,0,0.0,3047
brca,drug_chem,0,0.0,3047
brca,smiles_derived,1,0.0003281916639317361,3047
brca,target,0,0.0,3047
brca,lincs,0,0.0,3047
brca,context,0,0.0,3047
brca,metadata,0,0.0,3047
brca,unknown,0,0.0,3047
luad,sample_numeric,0,0.0,2547
luad,expression,2546,0.9996073812328229,2547
luad,pathway,0,0.0,2547
luad,drug_chem,0,0.0,2547
luad,smiles_derived,1,0.00039261876717707107,2547
luad,target,0,0.0,2547
luad,lincs,0,0.0,2547
luad,context,0,0.0,2547
luad,metadata,0,0.0,2547
luad,unknown,0,0.0,2547
crc,sample_numeric,0,0.0,3127
crc,expression,3126,0.9996802046690119,3127
crc,pathway,0,0.0,3127
crc,drug_chem,0,0.0,3127
crc,smiles_derived,1,0.0003197953309881676,3127
crc,target,0,0.0,3127
crc,lincs,0,0.0,3127
crc,context,0,0.0,3127
crc,metadata,0,0.0,3127
crc,unknown,0,0.0,3127
