modality,cancer,track,model,eval_mode,missing_category,severity,recommended_action,missing_reason
ML,stad,2B_numeric_smiles,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2B_numeric_smiles,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2B_numeric_smiles,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2B_numeric_smiles,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2B_numeric_smiles,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2C_numeric_smiles_context,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2C_numeric_smiles_context,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2C_numeric_smiles_context,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2C_numeric_smiles_context,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,stad,2C_numeric_smiles_context,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2B_numeric_smiles,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2B_numeric_smiles,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2B_numeric_smiles,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2B_numeric_smiles,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2B_numeric_smiles,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2C_numeric_smiles_context,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2C_numeric_smiles_context,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2C_numeric_smiles_context,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2C_numeric_smiles_context,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,brca,2C_numeric_smiles_context,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2B_numeric_smiles,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2B_numeric_smiles,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2B_numeric_smiles,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2B_numeric_smiles,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2B_numeric_smiles,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2C_numeric_smiles_context,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2C_numeric_smiles_context,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2C_numeric_smiles_context,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2C_numeric_smiles_context,ElasticNet,scaffoldcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,crc,2C_numeric_smiles_context,ElasticNet,unseen_drug,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,luad,2B_numeric_smiles,ElasticNet,holdout,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,luad,2B_numeric_smiles,ElasticNet,cv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
ML,luad,2B_numeric_smiles,ElasticNet,groupcv,optional ElasticNet 2B/2C baseline,optional,exclude_from_final_model_slot_selection,ElasticNet 2B/2C optional baseline missing
