modality,cancer,track,model,eval_mode,overfit_spearman_gap,overfit_fold_std,overfit_level,combo_dir
ML,stad,2C_numeric_smiles_context,XGBoost,scaffoldcv,0.47775572250139314,0.07300455069957305,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/scaffoldcv
ML,stad,2C_numeric_smiles_context,XGBoost,groupcv,0.4098366235771243,0.07644555813749092,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/groupcv
ML,stad,2C_numeric_smiles_context,XGBoost,unseen_drug,0.4179148136225696,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/XGBoost/unseen_drug
ML,stad,2C_numeric_smiles_context,RandomForest,scaffoldcv,0.580312605071908,0.03811686831056665,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/RandomForest/scaffoldcv
ML,stad,2C_numeric_smiles_context,RandomForest,groupcv,0.5177142948836765,0.07015569045568773,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/RandomForest/groupcv
ML,stad,2C_numeric_smiles_context,RandomForest,unseen_drug,0.5706434971870191,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/RandomForest/unseen_drug
ML,stad,2C_numeric_smiles_context,ExtraTrees,scaffoldcv,0.5447386338109033,0.10537400588756503,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/ExtraTrees/scaffoldcv
ML,stad,2C_numeric_smiles_context,ExtraTrees,groupcv,0.5963546877226419,0.09932575360934248,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/ExtraTrees/groupcv
ML,stad,2C_numeric_smiles_context,ExtraTrees,unseen_drug,0.5849046156628801,0.0,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/ExtraTrees/unseen_drug
ML,stad,2C_numeric_smiles_context,LightGBM,scaffoldcv,0.5059161503621262,0.0950175402616588,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/LightGBM/scaffoldcv
ML,stad,2C_numeric_smiles_context,LightGBM,groupcv,0.39987099664173753,0.06801381725922027,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/LightGBM/groupcv
ML,stad,2C_numeric_smiles_context,LightGBM,unseen_drug,0.42835472089458454,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/LightGBM/unseen_drug
ML,stad,2C_numeric_smiles_context,CatBoost,scaffoldcv,0.3946327981268459,0.10547572626875483,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/CatBoost/scaffoldcv
ML,stad,2C_numeric_smiles_context,CatBoost,groupcv,0.3508498241218381,0.1017915095713816,severe,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/CatBoost/groupcv
ML,stad,2C_numeric_smiles_context,CatBoost,unseen_drug,0.3126825955816365,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2C_numeric_smiles_context/CatBoost/unseen_drug
ML,stad,2B_numeric_smiles,XGBoost,scaffoldcv,0.4681270804195314,0.05669176839703333,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/scaffoldcv
ML,stad,2B_numeric_smiles,XGBoost,groupcv,0.3975564667746876,0.05441809596893643,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/groupcv
ML,stad,2B_numeric_smiles,XGBoost,unseen_drug,0.377347612589571,0.0,warning,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/stad/2B_numeric_smiles/XGBoost/unseen_drug
