model_key,modality,model,robust_score,mean_spearman,mean_rmse,mean_mae,mean_ndcg30,mean_spearman_gap,mean_fold_std,support_n
ML:XGBoost,ML,XGBoost,0.6237272868260911,0.3660147013844918,2.5288636162095686,1.935051483136636,0.20015981232685523,0.2732026224144029,0.038397799173713235,36
ML:LightGBM,ML,LightGBM,0.6188454477471831,0.36316356239598147,2.572114338149614,1.9634378684362312,0.21354756842556005,0.27395894508221624,0.032293499234721995,36
ML:CatBoost,ML,CatBoost,0.6150084994496807,0.35630164821407945,2.538949233786238,1.9282502164592117,0.2163080223579743,0.24504139690547552,0.035992249443566424,36
ML:RandomForest,ML,RandomForest,0.6062019240518156,0.3591616508506673,2.6066669321823905,1.9758732782600334,0.21485668658740256,0.3486426645717395,0.02776424963198913,36
DL:ResidualMLP,DL,ResidualMLP,0.5956885497803805,0.3468584501848776,2.6180066933067843,2.0011923578050403,0.25792089539714197,0.2832846913370304,0.03431798910929097,36
DL:TabTransformer,DL,TabTransformer,0.5891320459978364,0.3464270379418706,2.6711124855511708,2.041291786564721,0.2691666039454262,0.2683180827039501,0.043635836724812783,36
ML:ExtraTrees,ML,ExtraTrees,0.5859746122534552,0.3424605868294436,2.6081248887171564,1.97162864282481,0.2568402013799697,0.3751375704488307,0.03159050881428806,36
DL:FTTransformer,DL,FTTransformer,0.580226616362721,0.33966083567015865,2.6774622503414176,2.044889701737298,0.2648537338973431,0.24873475552077354,0.04151120481805669,36
DL:WideDeep,DL,WideDeep,0.5772841555031027,0.33972517289354226,2.6179247743555405,1.9896200409641973,0.1976938077955216,0.2863597451812691,0.032608234944442906,36
DL:FlatMLP,DL,FlatMLP,0.5679760715347231,0.3333589701601122,2.6231795393922503,2.0012554548404835,0.2052647293926434,0.29417630077902385,0.03146263514645398,36
DL:CrossAttention,DL,CrossAttention,0.5618089069751789,0.3336223588581654,2.676292809282809,2.0435814680876554,0.20230673574670854,0.2935742363398377,0.031214929832559492,36
DL:TabNet,DL,TabNet,0.5376763419490898,0.3241368551792983,2.805111022005073,2.1708867240835117,0.26447542387832457,0.3188957155248823,0.03642888794032236,36
Graph:GraphSAGE,Graph,GraphSAGE,0.4850603631658109,0.30273781920136117,2.963712494968007,2.207052176528507,0.17716582023945668,0.2763834026409313,0.03497184611236056,30
ML:ElasticNet,ML,ElasticNet,0.4835277800328259,0.2655685137668859,2.671359808028089,2.0421380201975503,0.14882535742910596,0.01472723858180573,0.009802881554679165,12
Graph:GAT,Graph,GAT,0.4493700422982747,0.2796808236429063,2.8596837516773688,2.2040174081200723,0.15467429777810418,0.3479135229890407,0.03652352739677385,27
