cancer,track,eval_mode,ensemble_method,strict_leakage_violation
brca,2A_numeric,cv,simple_mean,False
brca,2A_numeric,cv,rank_mean,False
brca,2A_numeric,cv,robust_weighted,False
brca,2A_numeric,groupcv,simple_mean,False
brca,2A_numeric,groupcv,rank_mean,False
brca,2A_numeric,groupcv,robust_weighted,False
brca,2A_numeric,holdout,simple_mean,False
brca,2A_numeric,holdout,rank_mean,False
brca,2A_numeric,holdout,robust_weighted,False
brca,2A_numeric,scaffoldcv,simple_mean,False
brca,2A_numeric,scaffoldcv,rank_mean,False
brca,2A_numeric,scaffoldcv,robust_weighted,False
brca,2A_numeric,unseen_drug,simple_mean,False
brca,2A_numeric,unseen_drug,rank_mean,False
brca,2A_numeric,unseen_drug,robust_weighted,False
brca,2B_numeric_smiles,cv,simple_mean,False
brca,2B_numeric_smiles,cv,rank_mean,False
brca,2B_numeric_smiles,cv,robust_weighted,False
brca,2B_numeric_smiles,groupcv,simple_mean,False
brca,2B_numeric_smiles,groupcv,rank_mean,False
brca,2B_numeric_smiles,groupcv,robust_weighted,False
brca,2B_numeric_smiles,holdout,simple_mean,False
brca,2B_numeric_smiles,holdout,rank_mean,False
brca,2B_numeric_smiles,holdout,robust_weighted,False
brca,2B_numeric_smiles,scaffoldcv,simple_mean,False
brca,2B_numeric_smiles,scaffoldcv,rank_mean,False
brca,2B_numeric_smiles,scaffoldcv,robust_weighted,False
brca,2B_numeric_smiles,unseen_drug,simple_mean,False
brca,2B_numeric_smiles,unseen_drug,rank_mean,False
brca,2B_numeric_smiles,unseen_drug,robust_weighted,False
brca,2C_numeric_smiles_context,cv,simple_mean,False
brca,2C_numeric_smiles_context,cv,rank_mean,False
brca,2C_numeric_smiles_context,cv,robust_weighted,False
brca,2C_numeric_smiles_context,groupcv,simple_mean,False
brca,2C_numeric_smiles_context,groupcv,rank_mean,False
brca,2C_numeric_smiles_context,groupcv,robust_weighted,False
brca,2C_numeric_smiles_context,holdout,simple_mean,False
brca,2C_numeric_smiles_context,holdout,rank_mean,False
brca,2C_numeric_smiles_context,holdout,robust_weighted,False
brca,2C_numeric_smiles_context,scaffoldcv,simple_mean,False
brca,2C_numeric_smiles_context,scaffoldcv,rank_mean,False
brca,2C_numeric_smiles_context,scaffoldcv,robust_weighted,False
brca,2C_numeric_smiles_context,unseen_drug,simple_mean,False
brca,2C_numeric_smiles_context,unseen_drug,rank_mean,False
brca,2C_numeric_smiles_context,unseen_drug,robust_weighted,False
crc,2A_numeric,cv,simple_mean,False
crc,2A_numeric,cv,rank_mean,False
crc,2A_numeric,cv,robust_weighted,False
crc,2A_numeric,groupcv,simple_mean,False
crc,2A_numeric,groupcv,rank_mean,False
crc,2A_numeric,groupcv,robust_weighted,False
crc,2A_numeric,holdout,simple_mean,False
crc,2A_numeric,holdout,rank_mean,False
crc,2A_numeric,holdout,robust_weighted,False
crc,2A_numeric,scaffoldcv,simple_mean,False
crc,2A_numeric,scaffoldcv,rank_mean,False
crc,2A_numeric,scaffoldcv,robust_weighted,False
crc,2A_numeric,unseen_drug,simple_mean,False
crc,2A_numeric,unseen_drug,rank_mean,False
crc,2A_numeric,unseen_drug,robust_weighted,False
crc,2B_numeric_smiles,cv,simple_mean,False
crc,2B_numeric_smiles,cv,rank_mean,False
crc,2B_numeric_smiles,cv,robust_weighted,False
crc,2B_numeric_smiles,groupcv,simple_mean,False
crc,2B_numeric_smiles,groupcv,rank_mean,False
crc,2B_numeric_smiles,groupcv,robust_weighted,False
crc,2B_numeric_smiles,holdout,simple_mean,False
crc,2B_numeric_smiles,holdout,rank_mean,False
crc,2B_numeric_smiles,holdout,robust_weighted,False
crc,2B_numeric_smiles,scaffoldcv,simple_mean,False
crc,2B_numeric_smiles,scaffoldcv,rank_mean,False
crc,2B_numeric_smiles,scaffoldcv,robust_weighted,False
crc,2B_numeric_smiles,unseen_drug,simple_mean,False
crc,2B_numeric_smiles,unseen_drug,rank_mean,False
crc,2B_numeric_smiles,unseen_drug,robust_weighted,False
crc,2C_numeric_smiles_context,cv,simple_mean,False
crc,2C_numeric_smiles_context,cv,rank_mean,False
crc,2C_numeric_smiles_context,cv,robust_weighted,False
crc,2C_numeric_smiles_context,groupcv,simple_mean,False
crc,2C_numeric_smiles_context,groupcv,rank_mean,False
crc,2C_numeric_smiles_context,groupcv,robust_weighted,False
crc,2C_numeric_smiles_context,holdout,simple_mean,False
crc,2C_numeric_smiles_context,holdout,rank_mean,False
crc,2C_numeric_smiles_context,holdout,robust_weighted,False
crc,2C_numeric_smiles_context,scaffoldcv,simple_mean,False
crc,2C_numeric_smiles_context,scaffoldcv,rank_mean,False
crc,2C_numeric_smiles_context,scaffoldcv,robust_weighted,False
crc,2C_numeric_smiles_context,unseen_drug,simple_mean,False
crc,2C_numeric_smiles_context,unseen_drug,rank_mean,False
crc,2C_numeric_smiles_context,unseen_drug,robust_weighted,False
luad,2A_numeric,cv,simple_mean,False
luad,2A_numeric,cv,rank_mean,False
luad,2A_numeric,cv,robust_weighted,False
luad,2A_numeric,groupcv,simple_mean,False
luad,2A_numeric,groupcv,rank_mean,False
luad,2A_numeric,groupcv,robust_weighted,False
luad,2A_numeric,holdout,simple_mean,False
luad,2A_numeric,holdout,rank_mean,False
luad,2A_numeric,holdout,robust_weighted,False
luad,2A_numeric,scaffoldcv,simple_mean,False
luad,2A_numeric,scaffoldcv,rank_mean,False
luad,2A_numeric,scaffoldcv,robust_weighted,False
luad,2A_numeric,unseen_drug,simple_mean,False
luad,2A_numeric,unseen_drug,rank_mean,False
luad,2A_numeric,unseen_drug,robust_weighted,False
luad,2B_numeric_smiles,cv,simple_mean,False
luad,2B_numeric_smiles,cv,rank_mean,False
luad,2B_numeric_smiles,cv,robust_weighted,False
luad,2B_numeric_smiles,groupcv,simple_mean,False
luad,2B_numeric_smiles,groupcv,rank_mean,False
luad,2B_numeric_smiles,groupcv,robust_weighted,False
luad,2B_numeric_smiles,holdout,simple_mean,False
luad,2B_numeric_smiles,holdout,rank_mean,False
luad,2B_numeric_smiles,holdout,robust_weighted,False
luad,2B_numeric_smiles,scaffoldcv,simple_mean,False
luad,2B_numeric_smiles,scaffoldcv,rank_mean,False
luad,2B_numeric_smiles,scaffoldcv,robust_weighted,False
luad,2B_numeric_smiles,unseen_drug,simple_mean,False
luad,2B_numeric_smiles,unseen_drug,rank_mean,False
luad,2B_numeric_smiles,unseen_drug,robust_weighted,False
luad,2C_numeric_smiles_context,cv,simple_mean,False
luad,2C_numeric_smiles_context,cv,rank_mean,False
luad,2C_numeric_smiles_context,cv,robust_weighted,False
luad,2C_numeric_smiles_context,groupcv,simple_mean,False
luad,2C_numeric_smiles_context,groupcv,rank_mean,False
luad,2C_numeric_smiles_context,groupcv,robust_weighted,False
luad,2C_numeric_smiles_context,holdout,simple_mean,False
luad,2C_numeric_smiles_context,holdout,rank_mean,False
luad,2C_numeric_smiles_context,holdout,robust_weighted,False
luad,2C_numeric_smiles_context,scaffoldcv,simple_mean,False
luad,2C_numeric_smiles_context,scaffoldcv,rank_mean,False
luad,2C_numeric_smiles_context,scaffoldcv,robust_weighted,False
luad,2C_numeric_smiles_context,unseen_drug,simple_mean,False
luad,2C_numeric_smiles_context,unseen_drug,rank_mean,False
luad,2C_numeric_smiles_context,unseen_drug,robust_weighted,False
stad,2A_numeric,cv,simple_mean,False
stad,2A_numeric,cv,rank_mean,False
stad,2A_numeric,cv,robust_weighted,False
stad,2A_numeric,groupcv,simple_mean,False
stad,2A_numeric,groupcv,rank_mean,False
stad,2A_numeric,groupcv,robust_weighted,False
stad,2A_numeric,holdout,simple_mean,False
stad,2A_numeric,holdout,rank_mean,False
stad,2A_numeric,holdout,robust_weighted,False
stad,2A_numeric,scaffoldcv,simple_mean,False
stad,2A_numeric,scaffoldcv,rank_mean,False
stad,2A_numeric,scaffoldcv,robust_weighted,False
stad,2A_numeric,unseen_drug,simple_mean,False
stad,2A_numeric,unseen_drug,rank_mean,False
stad,2A_numeric,unseen_drug,robust_weighted,False
stad,2B_numeric_smiles,cv,simple_mean,False
stad,2B_numeric_smiles,cv,rank_mean,False
stad,2B_numeric_smiles,cv,robust_weighted,False
stad,2B_numeric_smiles,groupcv,simple_mean,False
stad,2B_numeric_smiles,groupcv,rank_mean,False
stad,2B_numeric_smiles,groupcv,robust_weighted,False
stad,2B_numeric_smiles,holdout,simple_mean,False
stad,2B_numeric_smiles,holdout,rank_mean,False
stad,2B_numeric_smiles,holdout,robust_weighted,False
stad,2B_numeric_smiles,scaffoldcv,simple_mean,False
stad,2B_numeric_smiles,scaffoldcv,rank_mean,False
stad,2B_numeric_smiles,scaffoldcv,robust_weighted,False
stad,2B_numeric_smiles,unseen_drug,simple_mean,False
stad,2B_numeric_smiles,unseen_drug,rank_mean,False
stad,2B_numeric_smiles,unseen_drug,robust_weighted,False
stad,2C_numeric_smiles_context,cv,simple_mean,False
stad,2C_numeric_smiles_context,cv,rank_mean,False
stad,2C_numeric_smiles_context,cv,robust_weighted,False
stad,2C_numeric_smiles_context,groupcv,simple_mean,False
stad,2C_numeric_smiles_context,groupcv,rank_mean,False
stad,2C_numeric_smiles_context,groupcv,robust_weighted,False
stad,2C_numeric_smiles_context,holdout,simple_mean,False
stad,2C_numeric_smiles_context,holdout,rank_mean,False
stad,2C_numeric_smiles_context,holdout,robust_weighted,False
stad,2C_numeric_smiles_context,scaffoldcv,simple_mean,False
stad,2C_numeric_smiles_context,scaffoldcv,rank_mean,False
stad,2C_numeric_smiles_context,scaffoldcv,robust_weighted,False
stad,2C_numeric_smiles_context,unseen_drug,simple_mean,False
stad,2C_numeric_smiles_context,unseen_drug,rank_mean,False
stad,2C_numeric_smiles_context,unseen_drug,robust_weighted,False
