cancer,track,eval_mode,missing_modalities,graph_missing_for_luad,policy_applied
brca,2A_numeric,cv,,False,True
brca,2A_numeric,groupcv,,False,True
brca,2A_numeric,holdout,,False,True
brca,2A_numeric,scaffoldcv,,False,True
brca,2A_numeric,unseen_drug,,False,True
brca,2B_numeric_smiles,cv,,False,True
brca,2B_numeric_smiles,groupcv,,False,True
brca,2B_numeric_smiles,holdout,,False,True
brca,2B_numeric_smiles,scaffoldcv,,False,True
brca,2B_numeric_smiles,unseen_drug,,False,True
brca,2C_numeric_smiles_context,cv,,False,True
brca,2C_numeric_smiles_context,groupcv,,False,True
brca,2C_numeric_smiles_context,holdout,,False,True
brca,2C_numeric_smiles_context,scaffoldcv,,False,True
brca,2C_numeric_smiles_context,unseen_drug,,False,True
crc,2A_numeric,cv,,False,True
crc,2A_numeric,groupcv,,False,True
crc,2A_numeric,holdout,,False,True
crc,2A_numeric,scaffoldcv,,False,True
crc,2A_numeric,unseen_drug,,False,True
crc,2B_numeric_smiles,cv,,False,True
crc,2B_numeric_smiles,groupcv,,False,True
crc,2B_numeric_smiles,holdout,,False,True
crc,2B_numeric_smiles,scaffoldcv,,False,True
crc,2B_numeric_smiles,unseen_drug,,False,True
crc,2C_numeric_smiles_context,cv,,False,True
crc,2C_numeric_smiles_context,groupcv,,False,True
crc,2C_numeric_smiles_context,holdout,,False,True
crc,2C_numeric_smiles_context,scaffoldcv,,False,True
crc,2C_numeric_smiles_context,unseen_drug,,False,True
luad,2A_numeric,cv,,False,True
luad,2A_numeric,groupcv,,False,True
luad,2A_numeric,holdout,,False,True
luad,2A_numeric,scaffoldcv,,False,True
luad,2A_numeric,unseen_drug,,False,True
luad,2B_numeric_smiles,cv,Graph,True,True
luad,2B_numeric_smiles,groupcv,Graph,True,True
luad,2B_numeric_smiles,holdout,Graph,True,True
luad,2B_numeric_smiles,scaffoldcv,Graph,True,True
luad,2B_numeric_smiles,unseen_drug,Graph,True,True
luad,2C_numeric_smiles_context,cv,Graph,True,True
luad,2C_numeric_smiles_context,groupcv,Graph,True,True
luad,2C_numeric_smiles_context,holdout,Graph,True,True
luad,2C_numeric_smiles_context,scaffoldcv,Graph,True,True
luad,2C_numeric_smiles_context,unseen_drug,Graph,True,True
stad,2A_numeric,cv,,False,True
stad,2A_numeric,groupcv,,False,True
stad,2A_numeric,holdout,,False,True
stad,2A_numeric,scaffoldcv,,False,True
stad,2A_numeric,unseen_drug,,False,True
stad,2B_numeric_smiles,cv,,False,True
stad,2B_numeric_smiles,groupcv,,False,True
stad,2B_numeric_smiles,holdout,,False,True
stad,2B_numeric_smiles,scaffoldcv,,False,True
stad,2B_numeric_smiles,unseen_drug,,False,True
stad,2C_numeric_smiles_context,cv,,False,True
stad,2C_numeric_smiles_context,groupcv,,False,True
stad,2C_numeric_smiles_context,holdout,,False,True
stad,2C_numeric_smiles_context,scaffoldcv,,False,True
stad,2C_numeric_smiles_context,unseen_drug,,False,True
