cancer,track,eval_mode,available_modality_count,used_modalities,has_graph,has_ml,has_dl
brca,2A_numeric,cv,3,DL|Graph|ML,True,True,True
brca,2A_numeric,groupcv,3,DL|Graph|ML,True,True,True
brca,2A_numeric,holdout,3,DL|Graph|ML,True,True,True
brca,2A_numeric,scaffoldcv,3,DL|Graph|ML,True,True,True
brca,2A_numeric,unseen_drug,3,DL|Graph|ML,True,True,True
brca,2B_numeric_smiles,cv,3,DL|Graph|ML,True,True,True
brca,2B_numeric_smiles,groupcv,3,DL|Graph|ML,True,True,True
brca,2B_numeric_smiles,holdout,3,DL|Graph|ML,True,True,True
brca,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML,True,True,True
brca,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML,True,True,True
brca,2C_numeric_smiles_context,cv,3,DL|Graph|ML,True,True,True
brca,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML,True,True,True
brca,2C_numeric_smiles_context,holdout,3,DL|Graph|ML,True,True,True
brca,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML,True,True,True
brca,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML,True,True,True
crc,2A_numeric,cv,3,DL|Graph|ML,True,True,True
crc,2A_numeric,groupcv,3,DL|Graph|ML,True,True,True
crc,2A_numeric,holdout,3,DL|Graph|ML,True,True,True
crc,2A_numeric,scaffoldcv,3,DL|Graph|ML,True,True,True
crc,2A_numeric,unseen_drug,3,DL|Graph|ML,True,True,True
crc,2B_numeric_smiles,cv,3,DL|Graph|ML,True,True,True
crc,2B_numeric_smiles,groupcv,3,DL|Graph|ML,True,True,True
crc,2B_numeric_smiles,holdout,3,DL|Graph|ML,True,True,True
crc,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML,True,True,True
crc,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML,True,True,True
crc,2C_numeric_smiles_context,cv,3,DL|Graph|ML,True,True,True
crc,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML,True,True,True
crc,2C_numeric_smiles_context,holdout,3,DL|Graph|ML,True,True,True
crc,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML,True,True,True
crc,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML,True,True,True
luad,2A_numeric,cv,3,DL|Graph|ML,True,True,True
luad,2A_numeric,groupcv,3,DL|Graph|ML,True,True,True
luad,2A_numeric,holdout,3,DL|Graph|ML,True,True,True
luad,2A_numeric,scaffoldcv,3,DL|Graph|ML,True,True,True
luad,2A_numeric,unseen_drug,3,DL|Graph|ML,True,True,True
luad,2B_numeric_smiles,cv,2,DL|ML,False,True,True
luad,2B_numeric_smiles,groupcv,2,DL|ML,False,True,True
luad,2B_numeric_smiles,holdout,2,DL|ML,False,True,True
luad,2B_numeric_smiles,scaffoldcv,2,DL|ML,False,True,True
luad,2B_numeric_smiles,unseen_drug,2,DL|ML,False,True,True
luad,2C_numeric_smiles_context,cv,2,DL|ML,False,True,True
luad,2C_numeric_smiles_context,groupcv,2,DL|ML,False,True,True
luad,2C_numeric_smiles_context,holdout,2,DL|ML,False,True,True
luad,2C_numeric_smiles_context,scaffoldcv,2,DL|ML,False,True,True
luad,2C_numeric_smiles_context,unseen_drug,2,DL|ML,False,True,True
stad,2A_numeric,cv,3,DL|Graph|ML,True,True,True
stad,2A_numeric,groupcv,3,DL|Graph|ML,True,True,True
stad,2A_numeric,holdout,3,DL|Graph|ML,True,True,True
stad,2A_numeric,scaffoldcv,3,DL|Graph|ML,True,True,True
stad,2A_numeric,unseen_drug,3,DL|Graph|ML,True,True,True
stad,2B_numeric_smiles,cv,3,DL|Graph|ML,True,True,True
stad,2B_numeric_smiles,groupcv,3,DL|Graph|ML,True,True,True
stad,2B_numeric_smiles,holdout,3,DL|Graph|ML,True,True,True
stad,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML,True,True,True
stad,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML,True,True,True
stad,2C_numeric_smiles_context,cv,3,DL|Graph|ML,True,True,True
stad,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML,True,True,True
stad,2C_numeric_smiles_context,holdout,3,DL|Graph|ML,True,True,True
stad,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML,True,True,True
stad,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML,True,True,True
