cancer,track,eval_mode,modality,selected_model,base_weight,effective_weight,overfit_warning,overfit_severe,prediction_format,combo_dir
brca,2A_numeric,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost/cv
brca,2A_numeric,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP/cv
brca,2A_numeric,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE/cv
brca,2A_numeric,groupcv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost/groupcv
brca,2A_numeric,groupcv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP/groupcv
brca,2A_numeric,groupcv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE/groupcv
brca,2A_numeric,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost/holdout
brca,2A_numeric,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP/holdout
brca,2A_numeric,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE/holdout
brca,2A_numeric,scaffoldcv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost/scaffoldcv
brca,2A_numeric,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP/scaffoldcv
brca,2A_numeric,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE/scaffoldcv
brca,2A_numeric,unseen_drug,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2A_numeric/XGBoost/unseen_drug
brca,2A_numeric,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2A_numeric/ResidualMLP/unseen_drug
brca,2A_numeric,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2A_numeric/GraphSAGE/unseen_drug
brca,2B_numeric_smiles,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/cv
brca,2B_numeric_smiles,cv,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP/cv
brca,2B_numeric_smiles,cv,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE/cv
brca,2B_numeric_smiles,groupcv,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/groupcv
brca,2B_numeric_smiles,groupcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP/groupcv
brca,2B_numeric_smiles,groupcv,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE/groupcv
brca,2B_numeric_smiles,holdout,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/holdout
brca,2B_numeric_smiles,holdout,DL,ResidualMLP,0.5232131095571009,0.5232131095571009,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP/holdout
brca,2B_numeric_smiles,holdout,Graph,GraphSAGE,0.4239427574069187,0.4239427574069187,False,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE/holdout
brca,2B_numeric_smiles,scaffoldcv,ML,XGBoost,0.5530381943191341,0.2765190971595671,True,True,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/scaffoldcv
brca,2B_numeric_smiles,scaffoldcv,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP/scaffoldcv
brca,2B_numeric_smiles,scaffoldcv,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE/scaffoldcv
brca,2B_numeric_smiles,unseen_drug,ML,XGBoost,0.5530381943191341,0.44243055545530735,True,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2B_numeric_smiles/XGBoost/unseen_drug
brca,2B_numeric_smiles,unseen_drug,DL,ResidualMLP,0.5232131095571009,0.4185704876456807,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/dl_step4_2_7model_full/brca/2B_numeric_smiles/ResidualMLP/unseen_drug
brca,2B_numeric_smiles,unseen_drug,Graph,GraphSAGE,0.4239427574069187,0.339154205925535,True,False,csv,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/graph_step4_3_2model_full/brca/2B_numeric_smiles/GraphSAGE/unseen_drug
brca,2C_numeric_smiles_context,cv,ML,XGBoost,0.5530381943191341,0.5530381943191341,False,False,parquet,results/20260424_multicancer_stad_protocol_rerun/step4_models/fs_a_stad_baseline/ml_step4_1/brca/2C_numeric_smiles_context/XGBoost/cv
