cancer,track,eval_mode,ensemble_method,row_count,spearman,pearson,rmse,mae,r2,ndcg_at_30,available_modality_count_mean,used_modalities,missing_modalities,strict_leakage_violation
brca,2A_numeric,cv,simple_mean,7730,0.24431871612749367,0.22025078166046977,2.561219271286014,1.9227087014956468,0.048189790314956626,0.018306781678564865,3.0,DL|Graph|ML,,False
brca,2A_numeric,cv,rank_mean,7730,0.2442933375807687,0.21442781653706444,3.681347477136464,3.2514583808555684,-0.9663936396384114,0.018999187908189313,3.0,DL|Graph|ML,,False
brca,2A_numeric,cv,robust_weighted,7730,0.24393064584787397,0.2198914440855302,2.5614287276562155,1.922851187430875,0.04803410597678848,0.01666284968773793,3.0,DL|Graph|ML,,False
brca,2A_numeric,groupcv,simple_mean,7730,0.2510748279346741,0.2296323116010867,2.555226106197936,1.918121600661962,0.05263898510655507,0.019208806053695595,3.0,DL|Graph|ML,,False
brca,2A_numeric,groupcv,rank_mean,7730,0.25094241904938497,0.22413804654740696,3.6792870266999453,3.249634381753746,-0.9641930743279816,0.021782859094576994,3.0,DL|Graph|ML,,False
brca,2A_numeric,groupcv,robust_weighted,7730,0.25052770188308743,0.22940706652929935,2.5553630466234614,1.9181671908212419,0.0525374398879076,0.019208806053695595,3.0,DL|Graph|ML,,False
brca,2A_numeric,holdout,simple_mean,1546,0.23466626459224638,0.20802601162648046,2.5610595152141507,1.9221029113741506,0.04230491351752841,0.040626529820902514,3.0,DL|Graph|ML,,False
brca,2A_numeric,holdout,rank_mean,1546,0.23594589798558047,0.20506569446063388,3.6253565022209977,3.1832218932704004,-0.9190635502527416,0.08102628910399237,3.0,DL|Graph|ML,,False
brca,2A_numeric,holdout,robust_weighted,1546,0.23493389753179034,0.20803954924473594,2.5609809766992466,1.9222790015963447,0.04236365076754123,0.040626529820902514,3.0,DL|Graph|ML,,False
brca,2A_numeric,scaffoldcv,simple_mean,7730,0.24434707874128378,0.21971995593263272,2.56298606943518,1.9396350074493727,0.04687616866474931,0.017021518984923708,3.0,DL|Graph|ML,,False
brca,2A_numeric,scaffoldcv,rank_mean,7730,0.24447017278710909,0.2145834589471662,3.681115783715861,3.251211850764426,-0.9661461291089879,0.015968997342100784,3.0,DL|Graph|ML,,False
brca,2A_numeric,scaffoldcv,robust_weighted,7730,0.24440751852519518,0.2198630953109415,2.5629104885250773,1.9397634174077092,0.046932381927313194,0.018270055548388953,3.0,DL|Graph|ML,,False
brca,2A_numeric,unseen_drug,simple_mean,1459,0.23275348525969267,0.21965551709309228,2.7520766036663997,2.088616424585898,0.034540467392636276,0.1476655274979189,3.0,DL|Graph|ML,,False
