cancer,track,eval_mode,available_modality_count,used_modalities
brca,2A_numeric,cv,3,DL|Graph|ML
brca,2A_numeric,groupcv,3,DL|Graph|ML
brca,2A_numeric,holdout,3,DL|Graph|ML
brca,2A_numeric,scaffoldcv,3,DL|Graph|ML
brca,2A_numeric,unseen_drug,3,DL|Graph|ML
brca,2B_numeric_smiles,cv,3,DL|Graph|ML
brca,2B_numeric_smiles,groupcv,3,DL|Graph|ML
brca,2B_numeric_smiles,holdout,3,DL|Graph|ML
brca,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML
brca,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML
brca,2C_numeric_smiles_context,cv,3,DL|Graph|ML
brca,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML
brca,2C_numeric_smiles_context,holdout,3,DL|Graph|ML
brca,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML
brca,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML
crc,2A_numeric,cv,3,DL|Graph|ML
crc,2A_numeric,groupcv,3,DL|Graph|ML
crc,2A_numeric,holdout,3,DL|Graph|ML
crc,2A_numeric,scaffoldcv,3,DL|Graph|ML
crc,2A_numeric,unseen_drug,3,DL|Graph|ML
crc,2B_numeric_smiles,cv,3,DL|Graph|ML
crc,2B_numeric_smiles,groupcv,3,DL|Graph|ML
crc,2B_numeric_smiles,holdout,3,DL|Graph|ML
crc,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML
crc,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML
crc,2C_numeric_smiles_context,cv,3,DL|Graph|ML
crc,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML
crc,2C_numeric_smiles_context,holdout,3,DL|Graph|ML
crc,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML
crc,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML
luad,2A_numeric,cv,3,DL|Graph|ML
luad,2A_numeric,groupcv,3,DL|Graph|ML
luad,2A_numeric,holdout,3,DL|Graph|ML
luad,2A_numeric,scaffoldcv,3,DL|Graph|ML
luad,2A_numeric,unseen_drug,3,DL|Graph|ML
luad,2B_numeric_smiles,cv,2,DL|ML
luad,2B_numeric_smiles,groupcv,2,DL|ML
luad,2B_numeric_smiles,holdout,2,DL|ML
luad,2B_numeric_smiles,scaffoldcv,2,DL|ML
luad,2B_numeric_smiles,unseen_drug,2,DL|ML
luad,2C_numeric_smiles_context,cv,2,DL|ML
luad,2C_numeric_smiles_context,groupcv,2,DL|ML
luad,2C_numeric_smiles_context,holdout,2,DL|ML
luad,2C_numeric_smiles_context,scaffoldcv,2,DL|ML
luad,2C_numeric_smiles_context,unseen_drug,2,DL|ML
stad,2A_numeric,cv,3,DL|Graph|ML
stad,2A_numeric,groupcv,3,DL|Graph|ML
stad,2A_numeric,holdout,3,DL|Graph|ML
stad,2A_numeric,scaffoldcv,3,DL|Graph|ML
stad,2A_numeric,unseen_drug,3,DL|Graph|ML
stad,2B_numeric_smiles,cv,3,DL|Graph|ML
stad,2B_numeric_smiles,groupcv,3,DL|Graph|ML
stad,2B_numeric_smiles,holdout,3,DL|Graph|ML
stad,2B_numeric_smiles,scaffoldcv,3,DL|Graph|ML
stad,2B_numeric_smiles,unseen_drug,3,DL|Graph|ML
stad,2C_numeric_smiles_context,cv,3,DL|Graph|ML
stad,2C_numeric_smiles_context,groupcv,3,DL|Graph|ML
stad,2C_numeric_smiles_context,holdout,3,DL|Graph|ML
stad,2C_numeric_smiles_context,scaffoldcv,3,DL|Graph|ML
stad,2C_numeric_smiles_context,unseen_drug,3,DL|Graph|ML
