cancer,track,eval_mode,graph_missing_applied,missing_modalities
brca,2A_numeric,cv,False,
brca,2A_numeric,groupcv,False,
brca,2A_numeric,holdout,False,
brca,2A_numeric,scaffoldcv,False,
brca,2A_numeric,unseen_drug,False,
brca,2B_numeric_smiles,cv,False,
brca,2B_numeric_smiles,groupcv,False,
brca,2B_numeric_smiles,holdout,False,
brca,2B_numeric_smiles,scaffoldcv,False,
brca,2B_numeric_smiles,unseen_drug,False,
brca,2C_numeric_smiles_context,cv,False,
brca,2C_numeric_smiles_context,groupcv,False,
brca,2C_numeric_smiles_context,holdout,False,
brca,2C_numeric_smiles_context,scaffoldcv,False,
brca,2C_numeric_smiles_context,unseen_drug,False,
crc,2A_numeric,cv,False,
crc,2A_numeric,groupcv,False,
crc,2A_numeric,holdout,False,
crc,2A_numeric,scaffoldcv,False,
crc,2A_numeric,unseen_drug,False,
crc,2B_numeric_smiles,cv,False,
crc,2B_numeric_smiles,groupcv,False,
crc,2B_numeric_smiles,holdout,False,
crc,2B_numeric_smiles,scaffoldcv,False,
crc,2B_numeric_smiles,unseen_drug,False,
crc,2C_numeric_smiles_context,cv,False,
crc,2C_numeric_smiles_context,groupcv,False,
crc,2C_numeric_smiles_context,holdout,False,
crc,2C_numeric_smiles_context,scaffoldcv,False,
crc,2C_numeric_smiles_context,unseen_drug,False,
luad,2A_numeric,cv,False,
luad,2A_numeric,groupcv,False,
luad,2A_numeric,holdout,False,
luad,2A_numeric,scaffoldcv,False,
luad,2A_numeric,unseen_drug,False,
luad,2B_numeric_smiles,cv,True,Graph
luad,2B_numeric_smiles,groupcv,True,Graph
luad,2B_numeric_smiles,holdout,True,Graph
luad,2B_numeric_smiles,scaffoldcv,True,Graph
luad,2B_numeric_smiles,unseen_drug,True,Graph
luad,2C_numeric_smiles_context,cv,True,Graph
luad,2C_numeric_smiles_context,groupcv,True,Graph
luad,2C_numeric_smiles_context,holdout,True,Graph
luad,2C_numeric_smiles_context,scaffoldcv,True,Graph
luad,2C_numeric_smiles_context,unseen_drug,True,Graph
stad,2A_numeric,cv,False,
stad,2A_numeric,groupcv,False,
stad,2A_numeric,holdout,False,
stad,2A_numeric,scaffoldcv,False,
stad,2A_numeric,unseen_drug,False,
stad,2B_numeric_smiles,cv,False,
stad,2B_numeric_smiles,groupcv,False,
stad,2B_numeric_smiles,holdout,False,
stad,2B_numeric_smiles,scaffoldcv,False,
stad,2B_numeric_smiles,unseen_drug,False,
stad,2C_numeric_smiles_context,cv,False,
stad,2C_numeric_smiles_context,groupcv,False,
stad,2C_numeric_smiles_context,holdout,False,
stad,2C_numeric_smiles_context,scaffoldcv,False,
stad,2C_numeric_smiles_context,unseen_drug,False,
