modality,model,candidate_status,candidate_tier,rank_within_modality,adjusted_score,robust_score,primary_spearman,secondary_rmse,secondary_mae,secondary_ndcg30,overfit_warning_rate,overfit_severe_rate,leakage_count,combo_count,primary_mode_count
DL,ResidualMLP,eligible,primary,1,0.5232131095571009,0.5956885497803805,0.34685845018487754,2.6180066933067843,2.0011923578050403,0.25792089539714197,0.4,0.08333333333333333,0,60,36
DL,FTTransformer,eligible,secondary,2,0.513500555481008,0.580226616362721,0.3396608356701586,2.6774622503414176,2.044889701737298,0.2648537338973431,0.36666666666666664,0.08333333333333333,0,60,36
DL,TabTransformer,eligible,tertiary,3,0.507635446301469,0.5891320459978364,0.3464270379418705,2.6711124855511708,2.041291786564721,0.26916660394542613,0.4,0.11666666666666667,0,60,36
DL,FlatMLP,eligible,backup,4,0.5036054500941212,0.5679760715347231,0.3333589701601121,2.6231795393922503,2.0012554548404835,0.20526472939264334,0.4,0.06666666666666667,0,60,36
DL,CrossAttention,eligible,backup,5,0.5028189717427851,0.5618089069751789,0.3336223588581653,2.676292809282809,2.0435814680876554,0.20230673574670852,0.4,0.05,0,60,36
DL,WideDeep,eligible,backup,6,0.5022372152876994,0.5772841555031027,0.3397251728935422,2.6179247743555405,1.9896200409641973,0.19769380779552156,0.4,0.1,0,60,36
DL,TabNet,eligible,backup,7,0.463297781312799,0.5376763419490898,0.3241368551792983,2.8051110220050735,2.1708867240835117,0.26447542387832457,0.4,0.11666666666666667,0,60,36
Graph,GraphSAGE,eligible,primary,1,0.4239427574069187,0.4850603631658109,0.3027378192013611,2.963712494968007,2.207052176528507,0.17716582023945665,0.38,0.1,0,50,30
Graph,GAT,eligible,secondary,2,0.34851143280466196,0.4493700422982747,0.27968082364290625,2.859683751677369,2.2040174081200723,0.15467429777810415,0.4,0.28888888888888886,0,45,27
ML,XGBoost,eligible,primary,1,0.5530381943191341,0.6237272868260911,0.3660147013844918,2.5288636162095686,1.935051483136636,0.2001598123268552,0.4,0.06666666666666667,0,60,36
ML,CatBoost,eligible,secondary,2,0.5504326070074642,0.6150084994496807,0.35630164821407945,2.538949233786238,1.9282502164592117,0.21630802235797428,0.4,0.05,0,60,36
ML,LightGBM,eligible,tertiary,3,0.5487096303358358,0.6188454477471831,0.3631635623959814,2.572114338149614,1.9634378684362312,0.21354756842556,0.4,0.06666666666666667,0,60,36
ML,ElasticNet,eligible,backup,4,0.4835277800328259,0.4835277800328259,0.2655685137668859,2.671359808028089,2.0421380201975503,0.14882535742910594,0.0,0.0,0,20,12
ML,RandomForest,eligible,backup,5,0.47182716422032983,0.6062019240518156,0.35916165085066726,2.6066669321823905,1.9758732782600334,0.21485668658740253,0.4,0.2833333333333333,0,60,36
ML,ExtraTrees,eligible,backup,6,0.4267848425912665,0.5859746122534552,0.3424605868294435,2.6081248887171564,1.97162864282481,0.25684020137996966,0.4,0.38333333333333336,0,60,36
