cancer,rank,canonical_drug_id,drug_name,canonical_smiles,score_clinical_trial,score_approved_ind,score_ext_response,score_disease_relevance,score_literature_moa,score_cancer_plausibility,target_moa_recovery_bonus,caveat_penalty,ev_composite_0_10,n_clinicaltrials_studies_total,chembl_molecule_chembl_id,target_recovered,moa_recovered,ev_ready,graph_luad_caveat,mandatory_caveat,admet_set_tier,selection_basis,internal_rank_backup_note
brca,2,1375,Temozolomide,Cn1nnc2c(C(N)=O)ncn2c1=O,2,2,0,0,1,2,1,0.0,8.0,21,CHEMBL810,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
brca,4,1089,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
brca,7,1806,Oxaliplatin,[H][N]1([H])[C@@H]2CCCC[C@H]2[N]([H])([H])[Pt]11OC(=O)C(=O)O1,2,2,0,0,1,2,1,0.0,8.0,49,CHEMBL414804,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
brca,6,1507,Ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,2,2,0,0,0,1,0,0.0,5.0,12,CHEMBL1789941,,,True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
brca,11,1373,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,1,2,0,0,0,1,0,0.0,4.0,2,CHEMBL2028663,,,True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,5,1813,Fludarabine,Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,2,2,0,0,2,2,1,0.0,9.0,53,CHEMBL1096882,"CHEMBL2095215, CHEMBL2363042",Ribonucleoside-diphosphate reductase RR1 inhibitor (target CHEMBL2095215); DNA polymerase (alpha/delta/epsilon) inhibitor (target CHEMBL2363042),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,13,1177,Niraparib,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,2,2,0,0,2,2,1,0.0,9.0,6,CHEMBL1094636,"CHEMBL5366, CHEMBL3105",Poly [ADP-ribose] polymerase 2 inhibitor (target CHEMBL5366); Poly [ADP-ribose] polymerase-1 inhibitor (target CHEMBL3105),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,3,1512,Cyclophosphamide,O.O=P1(N(CCCl)CCCl)NCCCO1,2,2,0,0,1,2,1,0.0,8.0,85,CHEMBL1200796,CHEMBL2311221,DNA inhibitor (target CHEMBL2311221),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,6,1020,Lenalidomide,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2,2,0,0,1,2,1,0.0,8.0,7,CHEMBL848,CHEMBL3833061,CRL4(CRBN) E3 ubiquitin ligase inhibitor (target CHEMBL3833061),True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
crc,1,2498,alpha-lipoic acid,OC(=O)CCCC[C@@H]1CCSS1,1,0,0,0,0,0,0,0.0,1.0,2,,,,True,False,,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
luad,3,1018,Veliparib,C[C@]1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1,2,1,0,0,1,2,1,0.5,6.0,15,CHEMBL506871,CHEMBL3390820,"PARP 1, 2 and 3 inhibitor (target CHEMBL3390820)",True,True,Graph component is partial for LUAD due to missing LUAD 2-model graph evaluations.,focused_top5,ev_composite_0_10 desc; tie-break internal ensemble rank (lower better),
